#,Protein ID,AgeBeta,Pvalue,BH Adjusted Pvalue,Acc No.,ProteinDescription,Genenames,AA Length,GenePrimary,GOCC,GOMF,GOBP,Tissue,Ome,Species
507,C10_HUMAN,0.002236572,0.020135799,0.097237928,Q99622,Protein C10,C12orf57 C10,126,C12orf57,cytoplasm [GO:0005737],cytoplasm [GO:0005737],cytoplasm [GO:0005737],SKM,PROT,HUMAN
508,TBC24_HUMAN,0.002247988,0.016370693,0.085361469,Q9ULP9,TBC1 domain family member 24,TBC1D24 KIAA1171,559,TBC1D24,cell junction [GO:0030054]; cytoplasm [GO:0005737]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; terminal bouton [GO:0043195]; GTPase activator activity [GO:0005096]; neuron projection development [GO:0031175],cell junction [GO:0030054]; cytoplasm [GO:0005737]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; terminal bouton [GO:0043195]; GTPase activator activity [GO:0005096]; neuron projection development [GO:0031175],cell junction [GO:0030054]; cytoplasm [GO:0005737]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; terminal bouton [GO:0043195]; GTPase activator activity [GO:0005096]; neuron projection development [GO:0031175],SKM,PROT,HUMAN
509,NDRG1_HUMAN,0.0029726,0.000906548,0.011610176,Q92597,Protein NDRG1 (Differentiation-related gene 1 protein) (DRG-1) (N-myc downstream-regulated gene 1 protein) (Nickel-specific induction protein Cap43) (Reducing agents and tunicamycin-responsive protein) (RTP) (Rit42),NDRG1 CAP43 DRG1 RTP,394,NDRG1,"cell-cell adherens junction [GO:0005913]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; cadherin binding [GO:0045296]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; Rab GTPase binding [GO:0017137]; cellular response to hypoxia [GO:0071456]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; mast cell activation [GO:0045576]; negative regulation of cell proliferation [GO:0008285]; peripheral nervous system myelin maintenance [GO:0032287]; positive regulation of spindle checkpoint [GO:0090232]; regulation of apoptotic process [GO:0042981]; response to metal ion [GO:0010038]","cell-cell adherens junction [GO:0005913]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; cadherin binding [GO:0045296]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; Rab GTPase binding [GO:0017137]; cellular response to hypoxia [GO:0071456]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; mast cell activation [GO:0045576]; negative regulation of cell proliferation [GO:0008285]; peripheral nervous system myelin maintenance [GO:0032287]; positive regulation of spindle checkpoint [GO:0090232]; regulation of apoptotic process [GO:0042981]; response to metal ion [GO:0010038]","cell-cell adherens junction [GO:0005913]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; myelin sheath [GO:0043209]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome membrane [GO:0055038]; cadherin binding [GO:0045296]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; Rab GTPase binding [GO:0017137]; cellular response to hypoxia [GO:0071456]; DNA damage response, signal transduction by p53 class mediator [GO:0030330]; mast cell activation [GO:0045576]; negative regulation of cell proliferation [GO:0008285]; peripheral nervous system myelin maintenance [GO:0032287]; positive regulation of spindle checkpoint [GO:0090232]; regulation of apoptotic process [GO:0042981]; response to metal ion [GO:0010038]",SKM,PROT,HUMAN
510,PLST_HUMAN,0.002354109,0.012713453,0.071299517,P13797,Plastin-3 (T-plastin),PLS3,630,PLS3,actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; actin crosslink formation [GO:0051764]; actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639]; bone development [GO:0060348],actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; actin crosslink formation [GO:0051764]; actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639]; bone development [GO:0060348],actin filament [GO:0005884]; actin filament bundle [GO:0032432]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; actin crosslink formation [GO:0051764]; actin filament bundle assembly [GO:0051017]; actin filament network formation [GO:0051639]; bone development [GO:0060348],SKM,PROT,HUMAN
511,TRAF2_HUMAN,0.002415137,0.019054528,0.093576216,Q12933,TNF receptor-associated factor 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF2) (RING-type E3 ubiquitin transferase TRAF2) (Tumor necrosis factor type 2 receptor-associated protein 3),TRAF2 TRAP3,501,TRAF2,AIP1-IRE1 complex [GO:1990597]; CD40 receptor complex [GO:0035631]; cell cortex [GO:0005938]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; IRE1-TRAF2-ASK1 complex [GO:1990604]; membrane raft [GO:0045121]; nucleoplasm [GO:0005654]; TRAF2-GSTP1 complex [GO:0097057]; ubiquitin ligase complex [GO:0000151]; vesicle membrane [GO:0012506],CD40 receptor binding [GO:0005174]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; mitogen-activated protein kinase kinase kinase binding [GO:0031435]; protein complex binding [GO:0032403]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; signal transducer activity [GO:0004871]; sphingolipid binding [GO:0046625]; thioesterase binding [GO:0031996]; tumor necrosis factor receptor binding [GO:0005164]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270],activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097296]; activation of NF-kappaB-inducing kinase activity [GO:0007250]; cellular protein complex assembly [GO:0043623]; cellular response to nitric oxide [GO:0071732]; death-inducing signaling complex assembly [GO:0071550]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of glial cell apoptotic process [GO:0034351]; negative regulation of neuron death [GO:1901215]; positive regulation of extrinsic apoptotic signaling pathway [GO:2001238]; positive regulation of I-kappaB phosphorylation [GO:1903721]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of protein homodimerization activity [GO:0090073]; positive regulation of sequence-specific DNA binding transcription factor activity [GO:0051091]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell cytokine production [GO:0002726]; positive regulation of tumor necrosis factor-mediated signaling pathway [GO:1903265]; programmed necrotic cell death [GO:0097300]; protein autoubiquitination [GO:0051865]; protein catabolic process [GO:0030163]; protein complex assembly [GO:0006461]; protein deubiquitination [GO:0016579]; protein heterooligomerization [GO:0051291]; protein homotrimerization [GO:0070207]; protein K63-linked ubiquitination [GO:0070534]; regulation of apoptotic process [GO:0042981]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; regulation of immunoglobulin secretion [GO:0051023]; regulation of necroptotic process [GO:0060544]; regulation of tumor necrosis factor-mediated signaling pathway [GO:0010803]; response to endoplasmic reticulum stress [GO:0034976]; signal transduction [GO:0007165]; tumor necrosis factor-mediated signaling pathway [GO:0033209],SKM,PROT,HUMAN
512,NEST_HUMAN,0.002446097,0.025919565,0.115491045,P48681,Nestin,NES Nbla00170,1621,NES,cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111]; intermediate filament binding [GO:0019215]; structural molecule activity [GO:0005198]; brain development [GO:0007420]; cell projection morphogenesis [GO:0048858]; central nervous system development [GO:0007417]; embryonic camera-type eye development [GO:0031076]; G2/M transition of mitotic cell cycle [GO:0000086]; negative regulation of catalytic activity [GO:0043086]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein binding [GO:0032091]; positive regulation of intermediate filament depolymerization [GO:0030844]; positive regulation of neural precursor cell proliferation [GO:2000179]; stem cell proliferation [GO:0072089],cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111]; intermediate filament binding [GO:0019215]; structural molecule activity [GO:0005198]; brain development [GO:0007420]; cell projection morphogenesis [GO:0048858]; central nervous system development [GO:0007417]; embryonic camera-type eye development [GO:0031076]; G2/M transition of mitotic cell cycle [GO:0000086]; negative regulation of catalytic activity [GO:0043086]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein binding [GO:0032091]; positive regulation of intermediate filament depolymerization [GO:0030844]; positive regulation of neural precursor cell proliferation [GO:2000179]; stem cell proliferation [GO:0072089],cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; intermediate filament [GO:0005882]; intermediate filament cytoskeleton [GO:0045111]; intermediate filament binding [GO:0019215]; structural molecule activity [GO:0005198]; brain development [GO:0007420]; cell projection morphogenesis [GO:0048858]; central nervous system development [GO:0007417]; embryonic camera-type eye development [GO:0031076]; G2/M transition of mitotic cell cycle [GO:0000086]; negative regulation of catalytic activity [GO:0043086]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein binding [GO:0032091]; positive regulation of intermediate filament depolymerization [GO:0030844]; positive regulation of neural precursor cell proliferation [GO:2000179]; stem cell proliferation [GO:0072089],SKM,PROT,HUMAN
513,CYFP1_HUMAN,0.002464476,0.01555835,0.082600697,Q7L576,Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1) (p140sra-1),CYFIP1 KIAA0068,1253,CYFIP1,axonal growth cone [GO:0044295]; central region of growth cone [GO:0090724]; cytosol [GO:0005829]; dendritic growth cone [GO:0044294]; dendritic spine [GO:0043197]; excitatory synapse [GO:0060076]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; filopodium tip [GO:0032433]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; mRNA cap binding complex [GO:0005845]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; peripheral region of growth cone [GO:0090725]; ruffle [GO:0001726]; SCAR complex [GO:0031209]; secretory granule lumen [GO:0034774]; specific granule lumen [GO:0035580]; terminal bouton [GO:0043195]; tertiary granule lumen [GO:1904724]; actin filament binding [GO:0051015]; protein complex binding [GO:0032403]; Rac GTPase binding [GO:0048365]; RNA 7-methylguanosine cap binding [GO:0000340]; axon extension [GO:0048675]; cellular response to insulin stimulus [GO:0032869]; cognition [GO:0050890]; dendrite extension [GO:0097484]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; lamellipodium assembly [GO:0030032]; modification of synaptic structure [GO:0099563]; negative regulation of synaptic vesicle recycling [GO:1903422]; neutrophil degranulation [GO:0043312]; positive regulation of Arp2/3 complex-mediated actin nucleation [GO:2000601]; positive regulation of axon extension [GO:0045773]; positive regulation of dendrite development [GO:1900006]; positive regulation of neurotrophin TRK receptor signaling pathway [GO:0051388]; positive regulation of ruffle assembly [GO:1900029]; Rac protein signal transduction [GO:0016601]; regulation of cell shape [GO:0008360]; regulation of translation [GO:0006417]; response to electrical stimulus [GO:0051602]; ruffle organization [GO:0031529]; vascular endothelial growth factor receptor signaling pathway [GO:0048010],axonal growth cone [GO:0044295]; central region of growth cone [GO:0090724]; cytosol [GO:0005829]; dendritic growth cone [GO:0044294]; dendritic spine [GO:0043197]; excitatory synapse [GO:0060076]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; filopodium tip [GO:0032433]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; mRNA cap binding complex [GO:0005845]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; peripheral region of growth cone [GO:0090725]; ruffle [GO:0001726]; SCAR complex [GO:0031209]; secretory granule lumen [GO:0034774]; specific granule lumen [GO:0035580]; terminal bouton [GO:0043195]; tertiary granule lumen [GO:1904724]; actin filament binding [GO:0051015]; protein complex binding [GO:0032403]; Rac GTPase binding [GO:0048365]; RNA 7-methylguanosine cap binding [GO:0000340]; axon extension [GO:0048675]; cellular response to insulin stimulus [GO:0032869]; cognition [GO:0050890]; dendrite extension [GO:0097484]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; lamellipodium assembly [GO:0030032]; modification of synaptic structure [GO:0099563]; negative regulation of synaptic vesicle recycling [GO:1903422]; neutrophil degranulation [GO:0043312]; positive regulation of Arp2/3 complex-mediated actin nucleation [GO:2000601]; positive regulation of axon extension [GO:0045773]; positive regulation of dendrite development [GO:1900006]; positive regulation of neurotrophin TRK receptor signaling pathway [GO:0051388]; positive regulation of ruffle assembly [GO:1900029]; Rac protein signal transduction [GO:0016601]; regulation of cell shape [GO:0008360]; regulation of translation [GO:0006417]; response to electrical stimulus [GO:0051602]; ruffle organization [GO:0031529]; vascular endothelial growth factor receptor signaling pathway [GO:0048010],axonal growth cone [GO:0044295]; central region of growth cone [GO:0090724]; cytosol [GO:0005829]; dendritic growth cone [GO:0044294]; dendritic spine [GO:0043197]; excitatory synapse [GO:0060076]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; filopodium tip [GO:0032433]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; mRNA cap binding complex [GO:0005845]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; peripheral region of growth cone [GO:0090725]; ruffle [GO:0001726]; SCAR complex [GO:0031209]; secretory granule lumen [GO:0034774]; specific granule lumen [GO:0035580]; terminal bouton [GO:0043195]; tertiary granule lumen [GO:1904724]; actin filament binding [GO:0051015]; protein complex binding [GO:0032403]; Rac GTPase binding [GO:0048365]; RNA 7-methylguanosine cap binding [GO:0000340]; axon extension [GO:0048675]; cellular response to insulin stimulus [GO:0032869]; cognition [GO:0050890]; dendrite extension [GO:0097484]; Fc-gamma receptor signaling pathway involved in phagocytosis [GO:0038096]; lamellipodium assembly [GO:0030032]; modification of synaptic structure [GO:0099563]; negative regulation of synaptic vesicle recycling [GO:1903422]; neutrophil degranulation [GO:0043312]; positive regulation of Arp2/3 complex-mediated actin nucleation [GO:2000601]; positive regulation of axon extension [GO:0045773]; positive regulation of dendrite development [GO:1900006]; positive regulation of neurotrophin TRK receptor signaling pathway [GO:0051388]; positive regulation of ruffle assembly [GO:1900029]; Rac protein signal transduction [GO:0016601]; regulation of cell shape [GO:0008360]; regulation of translation [GO:0006417]; response to electrical stimulus [GO:0051602]; ruffle organization [GO:0031529]; vascular endothelial growth factor receptor signaling pathway [GO:0048010],SKM,PROT,HUMAN
514,LAMB1_HUMAN,0.002487905,0.007031557,0.04886994,P07942,Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta),LAMB1,1786,LAMB1,basement membrane [GO:0005604]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; laminin-1 complex [GO:0005606]; laminin-10 complex [GO:0043259]; laminin-2 complex [GO:0005607]; laminin-8 complex [GO:0043257]; perinuclear region of cytoplasm [GO:0048471]; extracellular matrix structural constituent [GO:0005201]; structural molecule activity [GO:0005198]; cell adhesion [GO:0007155]; endodermal cell differentiation [GO:0035987]; extracellular matrix organization [GO:0030198]; neuron projection development [GO:0031175]; neuronal-glial interaction involved in cerebral cortex radial glia guided migration [GO:0021812]; odontogenesis [GO:0042476]; positive regulation of cell migration [GO:0030335]; positive regulation of epithelial cell proliferation [GO:0050679]; substrate adhesion-dependent cell spreading [GO:0034446],basement membrane [GO:0005604]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; laminin-1 complex [GO:0005606]; laminin-10 complex [GO:0043259]; laminin-2 complex [GO:0005607]; laminin-8 complex [GO:0043257]; perinuclear region of cytoplasm [GO:0048471]; extracellular matrix structural constituent [GO:0005201]; structural molecule activity [GO:0005198]; cell adhesion [GO:0007155]; endodermal cell differentiation [GO:0035987]; extracellular matrix organization [GO:0030198]; neuron projection development [GO:0031175]; neuronal-glial interaction involved in cerebral cortex radial glia guided migration [GO:0021812]; odontogenesis [GO:0042476]; positive regulation of cell migration [GO:0030335]; positive regulation of epithelial cell proliferation [GO:0050679]; substrate adhesion-dependent cell spreading [GO:0034446],basement membrane [GO:0005604]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; laminin-1 complex [GO:0005606]; laminin-10 complex [GO:0043259]; laminin-2 complex [GO:0005607]; laminin-8 complex [GO:0043257]; perinuclear region of cytoplasm [GO:0048471]; extracellular matrix structural constituent [GO:0005201]; structural molecule activity [GO:0005198]; cell adhesion [GO:0007155]; endodermal cell differentiation [GO:0035987]; extracellular matrix organization [GO:0030198]; neuron projection development [GO:0031175]; neuronal-glial interaction involved in cerebral cortex radial glia guided migration [GO:0021812]; odontogenesis [GO:0042476]; positive regulation of cell migration [GO:0030335]; positive regulation of epithelial cell proliferation [GO:0050679]; substrate adhesion-dependent cell spreading [GO:0034446],SKM,PROT,HUMAN
515,AL9A1_HUMAN,0.002577489,0.003433339,0.029371144,P49189,"4-trimethylaminobutyraldehyde dehydrogenase (TMABADH) (EC 1.2.1.47) (Aldehyde dehydrogenase E3 isozyme) (Aldehyde dehydrogenase family 9 member A1) (EC 1.2.1.3) (Gamma-aminobutyraldehyde dehydrogenase) (EC 1.2.1.19) (R-aminobutyraldehyde dehydrogenase) [Cleaved into: 4-trimethylaminobutyraldehyde dehydrogenase, N-terminally processed]",ALDH9A1 ALDH4 ALDH7 ALDH9,494,ALDH9A1,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; 1-pyrroline dehydrogenase activity [GO:0033737]; 3-chloroallyl aldehyde dehydrogenase activity [GO:0004028]; 4-trimethylammoniobutyraldehyde dehydrogenase activity [GO:0047105]; aldehyde dehydrogenase (NAD) activity [GO:0004029]; aminobutyraldehyde dehydrogenase activity [GO:0019145]; carnitine biosynthetic process [GO:0045329]; cellular aldehyde metabolic process [GO:0006081]; hormone metabolic process [GO:0042445]; neurotransmitter biosynthetic process [GO:0042136]; oxidation-reduction process [GO:0055114],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; 1-pyrroline dehydrogenase activity [GO:0033737]; 3-chloroallyl aldehyde dehydrogenase activity [GO:0004028]; 4-trimethylammoniobutyraldehyde dehydrogenase activity [GO:0047105]; aldehyde dehydrogenase (NAD) activity [GO:0004029]; aminobutyraldehyde dehydrogenase activity [GO:0019145]; carnitine biosynthetic process [GO:0045329]; cellular aldehyde metabolic process [GO:0006081]; hormone metabolic process [GO:0042445]; neurotransmitter biosynthetic process [GO:0042136]; oxidation-reduction process [GO:0055114],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; 1-pyrroline dehydrogenase activity [GO:0033737]; 3-chloroallyl aldehyde dehydrogenase activity [GO:0004028]; 4-trimethylammoniobutyraldehyde dehydrogenase activity [GO:0047105]; aldehyde dehydrogenase (NAD) activity [GO:0004029]; aminobutyraldehyde dehydrogenase activity [GO:0019145]; carnitine biosynthetic process [GO:0045329]; cellular aldehyde metabolic process [GO:0006081]; hormone metabolic process [GO:0042445]; neurotransmitter biosynthetic process [GO:0042136]; oxidation-reduction process [GO:0055114],SKM,PROT,HUMAN
516,ILKAP_HUMAN,0.002645517,0.005133042,0.039305462,Q9H0C8,Integrin-linked kinase-associated serine/threonine phosphatase 2C (ILKAP) (EC 3.1.3.16),ILKAP,392,ILKAP,cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722],cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722],cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722],SKM,PROT,HUMAN
517,DREB_HUMAN,0.002647808,0.030847505,0.128678164,Q16643,Drebrin (Developmentally-regulated brain protein),DBN1 D0S117E,649,DBN1,actin cytoskeleton [GO:0015629]; actomyosin [GO:0042641]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; gap junction [GO:0005921]; growth cone [GO:0030426]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; cadherin binding [GO:0045296]; profilin binding [GO:0005522]; actin filament organization [GO:0007015]; cell communication by chemical coupling [GO:0010643]; cell communication by electrical coupling [GO:0010644]; maintenance of protein location in cell [GO:0032507]; neural precursor cell proliferation [GO:0061351]; regulation of dendrite development [GO:0050773]; regulation of neuronal synaptic plasticity [GO:0048168],actin cytoskeleton [GO:0015629]; actomyosin [GO:0042641]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; gap junction [GO:0005921]; growth cone [GO:0030426]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; cadherin binding [GO:0045296]; profilin binding [GO:0005522]; actin filament organization [GO:0007015]; cell communication by chemical coupling [GO:0010643]; cell communication by electrical coupling [GO:0010644]; maintenance of protein location in cell [GO:0032507]; neural precursor cell proliferation [GO:0061351]; regulation of dendrite development [GO:0050773]; regulation of neuronal synaptic plasticity [GO:0048168],actin cytoskeleton [GO:0015629]; actomyosin [GO:0042641]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; gap junction [GO:0005921]; growth cone [GO:0030426]; plasma membrane [GO:0005886]; actin binding [GO:0003779]; cadherin binding [GO:0045296]; profilin binding [GO:0005522]; actin filament organization [GO:0007015]; cell communication by chemical coupling [GO:0010643]; cell communication by electrical coupling [GO:0010644]; maintenance of protein location in cell [GO:0032507]; neural precursor cell proliferation [GO:0061351]; regulation of dendrite development [GO:0050773]; regulation of neuronal synaptic plasticity [GO:0048168],SKM,PROT,HUMAN
518,BDH2_HUMAN,0.002776248,0.033383272,0.134465115,Q9BUT1,3-hydroxybutyrate dehydrogenase type 2 (EC 1.1.1.-) (EC 1.1.1.30) (Dehydrogenase/reductase SDR family member 6) (Oxidoreductase UCPA) (R-beta-hydroxybutyrate dehydrogenase) (Short chain dehydrogenase/reductase family 15C member 1),BDH2 DHRS6 SDR15C1 UNQ6308/PRO20933,245,BDH2,"cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; 3-hydroxybutyrate dehydrogenase activity [GO:0003858]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; epithelial cell differentiation [GO:0030855]; fatty acid beta-oxidation [GO:0006635]; heme metabolic process [GO:0042168]; iron ion homeostasis [GO:0055072]; ketone body biosynthetic process [GO:0046951]; siderophore biosynthetic process [GO:0019290]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; 3-hydroxybutyrate dehydrogenase activity [GO:0003858]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; epithelial cell differentiation [GO:0030855]; fatty acid beta-oxidation [GO:0006635]; heme metabolic process [GO:0042168]; iron ion homeostasis [GO:0055072]; ketone body biosynthetic process [GO:0046951]; siderophore biosynthetic process [GO:0019290]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; 3-hydroxybutyrate dehydrogenase activity [GO:0003858]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; epithelial cell differentiation [GO:0030855]; fatty acid beta-oxidation [GO:0006635]; heme metabolic process [GO:0042168]; iron ion homeostasis [GO:0055072]; ketone body biosynthetic process [GO:0046951]; siderophore biosynthetic process [GO:0019290]",SKM,PROT,HUMAN
519,PYGL_HUMAN,0.002945922,0.032464322,0.132343352,P06737,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",PYGL,847,PYGL,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; secretory granule lumen [GO:0034774]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; bile acid binding [GO:0032052]; drug binding [GO:0008144]; glucose binding [GO:0005536]; glycogen phosphorylase activity [GO:0008184]; protein homodimerization activity [GO:0042803]; purine nucleobase binding [GO:0002060]; pyridoxal phosphate binding [GO:0030170]; vitamin binding [GO:0019842]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; glucose homeostasis [GO:0042593]; glycogen catabolic process [GO:0005980]; glycogen metabolic process [GO:0005977]; necroptotic process [GO:0070266]; neutrophil degranulation [GO:0043312],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; secretory granule lumen [GO:0034774]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; bile acid binding [GO:0032052]; drug binding [GO:0008144]; glucose binding [GO:0005536]; glycogen phosphorylase activity [GO:0008184]; protein homodimerization activity [GO:0042803]; purine nucleobase binding [GO:0002060]; pyridoxal phosphate binding [GO:0030170]; vitamin binding [GO:0019842]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; glucose homeostasis [GO:0042593]; glycogen catabolic process [GO:0005980]; glycogen metabolic process [GO:0005977]; necroptotic process [GO:0070266]; neutrophil degranulation [GO:0043312],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; secretory granule lumen [GO:0034774]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; bile acid binding [GO:0032052]; drug binding [GO:0008144]; glucose binding [GO:0005536]; glycogen phosphorylase activity [GO:0008184]; protein homodimerization activity [GO:0042803]; purine nucleobase binding [GO:0002060]; pyridoxal phosphate binding [GO:0030170]; vitamin binding [GO:0019842]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; glucose homeostasis [GO:0042593]; glycogen catabolic process [GO:0005980]; glycogen metabolic process [GO:0005977]; necroptotic process [GO:0070266]; neutrophil degranulation [GO:0043312],SKM,PROT,HUMAN
