UniProt Accession,Description,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Fractions,Occurrences,Highest mean condition,Lowest mean condition,Control 1,Control 2,Control 3,Control 4,Control 5,Control 6,HCM 1,HCM 2,HCM 3,HCM 4,HCM 5,HCM 6,HCM 7,HCM 8,HCM 9,HCM 10,HCM 11,Anova p-value <= 0.05,Fold change >= 1.5,Fold change >= 2,Tissue,Ome,Species
HBD_HUMAN,Hemoglobin subunit delta OS Homo sapiens GN HBD PE 1 SV 2,72,16,243.38,0.0027289,0.008436262,1.30800369,0.937978997,1;2;3;4;5;6;7;8;9;10;11;12,12,HCM,Control,6939.59284,5830.496901,6441.54866,5608.065553,5775.90677,6304.082633,9757.722681,8200.802363,7148.755943,7190.952832,5752.939533,7678.582566,8355.20673,8538.18528,10230.8114,6868.5817,8763.173369,x,,,HEART,PROT,HUMAN
PGM5_HUMAN,Phosphoglucomutase like protein 5 OS Homo sapiens GN PGM5 PE 1 SV 2,9,5,42.47,0.0027337,0.008436262,1.18223524,0.937877137,7;9;10,3,HCM,Control,781.8300563,959.4122893,881.5439859,884.4363618,906.9784702,935.1295504,1172.804393,1249.85411,964.100756,990.639683,893.2151758,1039.172308,1099.003438,1040.082679,1065.723743,947.0437314,1132.666688,x,,,HEART,PROT,HUMAN
KINH_HUMAN,Kinesin 1 heavy chain OS Homo sapiens GN KIF5B PE 1 SV 1,1,1,6.43,0.002919765,0.008618704,3.16375895,0.933966373,3,1,HCM,Control,0,127.8280529,3.327631935,2.975300261,110.9018015,75.01442277,110.0693122,214.7725943,140.8017628,165.6344779,87.07372755,149.3914845,196.3398855,136.1804513,321.691409,173.4116903,160.9789467,x,x,x,HEART,PROT,HUMAN
PWP2B_HUMAN,PWWP domain containing protein 2B OS Homo sapiens GN PWWP2B PE 1 SV 3,1,1,6.42,0.003266864,0.009241484,1.78374831,0.926859231,10,1,HCM,Control,57.09762206,97.27115817,45.2254347,53.47016837,71.82916247,53.37436752,152.5772884,152.6901964,134.181874,67.26011599,82.74628481,105.0052604,144.7186717,72.69993328,107.1007527,149.420332,68.61300035,x,x,,HEART,PROT,HUMAN
JKIP3_HUMAN,Janus kinase and microtubule interacting protein 3 OS Homo sapiens GN JAKMIP3 PE 2 SV 2,1,1,13.34,0.00355809,0.009927437,1.71232099,0.921075448,4,1,HCM,Control,268.7634429,385.0312561,521.1167768,340.8481931,395.0701642,355.4050459,645.2777973,910.8819419,893.273608,474.9008056,389.6366973,483.1944537,942.2965599,451.0866099,555.9444322,839.9755609,527.8210474,x,x,,HEART,PROT,HUMAN
IGHG3_HUMAN,Ig gamma 3 chain C region OS Homo sapiens GN IGHG3 PE 1 SV 2,22,1,102.81,0.003695092,0.010133568,2.39748864,0.918408336,4;5;6;8;9;10,6,HCM,Control,150.1155798,375.1408481,204.9141654,209.7439912,85.97024149,244.50799,662.6890415,465.9223114,525.7240583,238.2746432,254.6847378,389.7413847,902.2478695,340.9912506,820.1111434,247.203953,736.2888973,x,x,x,HEART,PROT,HUMAN
THIO_HUMAN,Thioredoxin OS Homo sapiens GN TXN PE 1 SV 3,3,2,20.07,0.003731475,0.010133568,1.37208217,0.917705648,4,1,HCM,Control,877.7555532,1027.435959,1021.296787,1068.790764,1110.673894,1108.839041,1159.256012,1223.127228,1232.938369,1451.60239,1227.487284,1230.737728,1161.427238,1465.766149,1801.068698,1498.92569,2180.87289,x,,,HEART,PROT,HUMAN
ENOG_HUMAN,Gamma enolase OS Homo sapiens GN ENO2 PE 1 SV 3,40,15,227.9,0.003889496,0.010423722,1.35420639,0.914680434,1;3;5;6;7;8;10;11,8,HCM,Control,13194.197,8815.374085,15418.37209,13504.48937,14328.96503,18860.46264,18557.24702,16685.80198,16366.3279,17910.6826,18711.00577,16584.43432,17130.60169,23810.9134,18007.56791,20678.13432,24407.6116,x,,,HEART,PROT,HUMAN
FUMH_HUMAN,Fumarate hydratase mitochondrial OS Homo sapiens GN FH PE 1 SV 3,38,28,157.06,0.004111388,0.01087529,1.23310262,0.910503817,1;3;4;5;6;7;8;9;10,9,HCM,Control,9488.153749,8583.163493,8173.459941,9755.096359,8621.02479,10588.36037,11238.53936,10682.81082,8686.582619,11272.24184,10090.88921,10774.52557,11300.84037,10861.37396,13466.79037,13237.52548,13198.79639,x,,,HEART,PROT,HUMAN
PPIF_HUMAN,Peptidyl prolyl cis trans isomerase F mitochondrial OS Homo sapiens GN PPIF PE 1 SV 1,1,1,6.66,0.004559988,0.01190727,1.41413424,0.902301542,10,1,HCM,Control,60.51294288,71.00051361,61.27916089,55.50945751,50.93248688,58.54224691,77.08030027,115.9768106,61.47352204,109.7104624,55.6201501,89.20325812,87.13925907,88.22941207,90.8841645,84.63355645,67.61390014,x,,,HEART,PROT,HUMAN
TPIS_HUMAN,Triosephosphate isomerase OS Homo sapiens GN TPI1 PE 1 SV 3,74,59,378.87,0.005643128,0.014367228,1.31397318,0.883694636,1;2;3;4;5;6;7;8;9;10;11,11,HCM,Control,39818.18706,40176.215,49812.22267,48584.20857,34727.70705,49912.85992,58761.74752,56081.1779,49223.84554,53951.68426,43457.47288,54141.60028,50467.73962,61433.23587,70438.13482,54931.26477,80741.80749,x,,,HEART,PROT,HUMAN
POTEF_HUMAN,POTE ankyrin domain family member F OS Homo sapiens GN POTEF PE 1 SV 2,101,10,471.62,0.006355389,0.015687729,1.44780779,0.872268439,1;2;3;4;5;6;7;8;9;10;11,11,HCM,Control,1301.715015,1507.753847,1379.040157,1465.740672,1331.974125,1547.598053,2574.424894,2231.357419,2377.076577,2713.109712,1358.785157,1750.177573,2577.985185,1349.556576,2073.428247,2110.840132,1534.703712,x,,,HEART,PROT,HUMAN
SODC_HUMAN,Superoxide dismutase Cu Zn OS Homo sapiens GN SOD1 PE 1 SV 2,9,9,45.42,0.00693271,0.016419036,1.25327444,0.863420238,3;4;5;6;7;10,6,HCM,Control,2136.724769,2063.160037,2386.604337,2442.990173,1955.288214,2780.560591,3140.511752,2950.214005,2504.730544,2788.306711,2447.860296,2286.709398,2495.25261,2937.382766,3599.585456,3027.463998,3450.161331,x,,,HEART,PROT,HUMAN
FETUA_HUMAN,Alpha 2 HS glycoprotein OS Homo sapiens GN AHSG PE 1 SV 1,1,1,6.81,0.011340905,0.024581249,2.16150485,0.805257122,9,1,HCM,Control,47.91387516,29.80129237,70.84448001,36.45282799,88.92486252,27.78887488,70.72471874,78.36954469,89.02966026,62.8387025,101.6342411,84.5778115,88.35770661,120.8854853,68.53462353,65.14858761,365.5671533,x,x,x,HEART,PROT,HUMAN
MCMBP_HUMAN,Mini chromosome maintenance complex binding protein OS Homo sapiens GN MCMBP PE 1 SV 2,1,1,6.22,0.011344587,0.024581249,1.72656220,0.805214152,10,1,HCM,Control,529.7182142,476.5471346,872.7710826,754.0594768,421.9439091,753.4839365,1082.600876,1075.951405,772.3960478,712.8092905,863.7902695,835.3092428,831.1477929,1012.482654,2365.273472,776.2388741,1727.364166,x,x,,HEART,PROT,HUMAN
G6PI_HUMAN,Glucose 6 phosphate isomerase OS Homo sapiens GN GPI PE 1 SV 4,46,36,242.23,0.011528585,0.024716985,1.31670074,0.803076726,3;4;5;7;8;9;10;11,8,HCM,Control,17843.54176,15391.34583,16535.05941,17879.3655,11873.65704,19069.58139,23130.66456,22147.0847,16762.86491,19966.74558,18020.15458,18703.05207,20741.51114,21133.06426,34820.88191,20228.72338,22342.87526,x,,,HEART,PROT,HUMAN
TERA_HUMAN,Transitional endoplasmic reticulum ATPase OS Homo sapiens GN VCP PE 1 SV 4,32,20,195.58,0.012014531,0.02522773,1.16898597,0.797522984,1;4;5;6;7;9;10,7,HCM,Control,3507.44065,3058.828835,2801.879507,4067.495049,3119.764533,3422.9328,3808.934785,4216.834408,3318.745913,4238.075241,3508.964606,3949.46142,3817.569231,4323.333739,3600.733725,4480.281514,3553.466941,x,,,HEART,PROT,HUMAN
MTMR1_HUMAN,Myotubularin related protein 1 OS Homo sapiens GN MTMR1 PE 1 SV 4,1,1,6.18,0.012268316,0.025240203,2.33043121,0.79467353,6,1,HCM,Control,111.2006329,165.3509848,69.86311062,96.14546201,113.4320465,46.4270057,312.6132531,361.8393697,342.6105517,74.99283935,119.1127672,469.4336621,294.7035495,171.6156022,125.4155154,138.473224,163.0001053,x,x,x,HEART,PROT,HUMAN
HSP76_HUMAN,Heat shock 70 kDa protein 6 OS Homo sapiens GN HSPA6 PE 1 SV 2,43,8,232.06,0.015550059,0.02962993,1.55824106,0.76059833,1;2;3;4;5;6;7;8,8,HCM,Control,1016.469648,1784.245095,1478.201334,1237.694378,1333.425426,1244.186345,1980.529127,4001.486739,2170.869448,1558.704427,1172.694013,2374.809072,1935.979718,1983.342303,1629.657842,1499.978424,2815.322802,x,x,,HEART,PROT,HUMAN
LUM_HUMAN,Lumican OS Homo sapiens GN LUM PE 1 SV 2,8,6,63.93,0.015565795,0.02962993,1.75737423,0.760446049,4;5;6;7;10;11,6,HCM,Control,921.0660734,913.8869306,1126.144511,1112.723125,1021.999216,954.134417,1611.046482,1817.406318,1207.592839,1256.17242,1138.789578,1521.784522,1144.2301,1856.05279,2619.740821,1097.267866,4221.978058,x,x,,HEART,PROT,HUMAN
MYL3_HUMAN,Myosin light chain 3 OS Homo sapiens GN MYL3 PE 1 SV 3,77,62,293.66,0.015979413,0.029634304,1.46587574,0.756477366,1;2;3;4;5;6;7;8;9;10,10,HCM,Control,30096.577,38477.09365,38136.5457,34862.66379,33978.72012,34818.61114,56686.08384,72179.83094,48464.42538,36864.45307,37931.57056,40237.72791,53094.49962,33807.94689,87950.65609,56600.12237,41539.76516,x,,,HEART,PROT,HUMAN
MYL4_HUMAN,Myosin light chain 4 OS Homo sapiens GN MYL4 PE 1 SV 3,24,9,94.98,0.017734652,0.031965929,1.88793667,0.740323674,1;4;5;6;7;8;10,7,HCM,Control,1297.137688,1393.65381,2017.501584,2322.758069,1944.893289,1272.060319,3079.178214,4710.790948,3328.434413,1571.248813,1233.103512,4087.459098,3463.088126,2853.409332,3883.475566,1686.630842,5573.751696,x,x,,HEART,PROT,HUMAN
ATIF1_HUMAN,ATPase inhibitor mitochondrial OS Homo sapiens GN ATPIF1 PE 1 SV 1,3,2,13.09,0.020516083,0.036022973,1.70922085,0.716737058,1;5,2,HCM,Control,67.17591659,78.52492159,65.00793487,105.5965368,73.25601233,41.12506806,134.1695585,95.10528677,61.03299597,214.1340877,117.2311662,59.97649854,105.8143846,153.6463087,176.7344604,146.6246938,85.1171783,x,x,,HEART,PROT,HUMAN
ASAH1_HUMAN,Acid ceramidase OS Homo sapiens GN ASAH1 PE 1 SV 5,6,6,40.5,0.022021716,0.037560598,1.27864958,0.704858853,1;8,2,HCM,Control,1980.82848,1974.573049,1171.884458,1516.265039,1946.522569,1958.058793,2352.446596,2592.460161,1931.790342,1955.974833,2220.745509,1949.224221,1941.89908,2995.019905,2023.358696,1810.872303,2953.044283,x,,,HEART,PROT,HUMAN
NEST_HUMAN,Nestin OS Homo sapiens GN NES PE 1 SV 2,2,2,6.34,0.022129452,0.037560598,1.40977698,0.704030574,4,1,HCM,Control,121.9398548,256.600044,136.7732177,169.2938418,161.3241151,137.0636889,203.6911334,304.7563718,227.0748445,195.459125,187.1956154,196.2728214,214.2371075,173.1109386,311.1116396,365.8631863,161.866765,x,,,HEART,PROT,HUMAN
VINC_HUMAN,Vinculin OS Homo sapiens GN VCL PE 1 SV 4,32,25,175.13,0.023416315,0.039416338,1.26636492,0.694347319,3;4;5;6;7;8;9;10;11;12,10,HCM,Control,7813.449087,8734.268379,7661.864242,9845.330685,7436.612496,8236.338417,9874.189323,10963.97259,7788.511111,12575.35747,9215.38242,8820.108285,9253.491355,9771.262481,16439.92259,10045.50811,10703.9339,x,,,HEART,PROT,HUMAN
ALBU_HUMAN,Serum albumin OS Homo sapiens GN ALB PE 1 SV 2,348,295,1107.96,0.025331645,0.041947045,1.43858117,0.680607066,1;2;3;4;5;6;7;8;9;10;11;12,12,HCM,Control,375329.1045,359782.5493,474890.1788,470053.8307,398332.8789,462823.7805,499050.9254,537640.8699,440228.3582,519336.8677,523360.3102,539295.6827,447103.1433,625026.4903,876607.0946,507443.4321,1187097.194,x,,,HEART,PROT,HUMAN
PSB2_HUMAN,Proteasome subunit beta type 2 OS Homo sapiens GN PSMB2 PE 1 SV 1,1,1,7.22,0.025607509,0.042061886,1.24462169,0.678689868,10,1,HCM,Control,280.1215738,287.936014,279.9598604,359.8288571,219.9539395,302.6577142,398.4366644,372.1757488,233.9993367,325.8091813,339.1122373,364.0430729,326.665682,423.2413051,464.8801341,366.6421982,333.5645257,x,,,HEART,PROT,HUMAN
TNNI3_HUMAN,Troponin I cardiac muscle OS Homo sapiens GN TNNI3 PE 1 SV 3,35,24,152.45,0.02768592,0.044054683,1.65797917,0.664706827,1;2;3;4;5;6;7;8;9;10,10,HCM,Control,7601.45165,12584.04021,13288.92672,7822.379633,8237.028222,7223.719731,18458.70377,25000.10074,16523.12981,8259.093009,8477.137791,16349.4694,19780.15746,10118.21586,26793.84589,11239.81696,11522.18272,x,x,,HEART,PROT,HUMAN
LRC39_HUMAN,Leucine rich repeat containing protein 39 OS Homo sapiens GN LRRC39 PE 2 SV 1,1,1,12.98,0.029025412,0.045828091,1.64292166,0.656099057,5,1,HCM,Control,1348.631312,2131.186539,1525.508954,1383.144371,1398.612157,1489.866333,2597.75364,3152.249344,2400.076171,1529.668728,2083.057646,1456.574369,2239.790317,1542.326614,5585.398694,3510.303005,1845.187579,x,x,,HEART,PROT,HUMAN
MLRV_HUMAN,Myosin regulatory light chain 2 ventricular cardiac muscle isoform OS Homo sapiens GN MYL2 PE 1 SV,67,46,254.79,0.03080836,0.048269002,1.45694577,0.645090329,1;2;3;4;5;6;7;8;9;10;11,11,HCM,Control,18699.5364,27753.59877,26668.21794,18474.01896,20437.13789,21536.1725,38662.28898,43054.3158,32835.88172,21147.11062,23650.87258,25380.27981,38401.00812,20504.90963,55009.31033,34142.67403,23982.28014,x,,,HEART,PROT,HUMAN
PDIA1_HUMAN,Protein disulfide isomerase OS Homo sapiens GN P4HB PE 1 SV 3,4,3,25.59,0.032299606,0.050219111,1.23190020,0.636247341,3;4;5;6,4,HCM,Control,440.9597513,351.5881258,309.9461709,523.9416625,358.2134069,388.8919277,509.365415,504.6715017,394.3599922,599.0491058,504.7984535,496.7607197,532.5631097,474.9602313,318.9572158,477.714519,547.4034844,x,,,HEART,PROT,HUMAN
CSRP3_HUMAN,Cysteine and glycine rich protein 3 OS Homo sapiens GN CSRP3 PE 1 SV 1,40,24,155.24,0.036098625,0.055700593,1.23042666,0.615064015,1;3;4;5;7;8;9;10;11,9,HCM,Control,18303.82464,18824.99341,10008.11927,16753.19283,17790.09425,19328.05723,22345.968,20647.99573,15905.37541,23693.42036,16837.82823,23743.54205,17397.02221,20122.2885,23513.59045,23870.41882,19775.23429,x,,,HEART,PROT,HUMAN
MAP4_HUMAN,Microtubule associated protein 4 OS Homo sapiens GN MAP4 PE 1 SV 3,2,2,13.24,0.037596432,0.057575548,1.40497184,0.607192155,4,1,HCM,Control,121.1950805,128.7960695,94.34350319,132.7444203,124.5335875,119.5609084,198.3323528,129.4424895,116.2430366,264.2911983,151.5149753,112.7457369,145.4272192,156.5840218,152.7093626,286.9352925,143.3600044,x,,,HEART,PROT,HUMAN
LAC3_HUMAN;LAC2_HUMAN;LAC6_HUMAN;LAC7_HUMAN,Ig lambda 3 chain C regions OS Homo sapiens GN IGLC3 PE 1 SV 1,17,4,77.03,0.038418245,0.058395021,1.29504176,0.602978677,2;3;4;5;6;7;8;9;10,9,HCM,Control,1492.132324,1393.174675,1406.267009,1592.70737,1099.464525,1366.963857,1881.210156,2914.116253,1526.573164,1458.901046,1516.854683,1325.736496,2461.630923,1601.770256,1628.960557,1905.618618,1605.243868,x,,,HEART,PROT,HUMAN
ECHM_HUMAN,Enoyl CoA hydratase mitochondrial OS Homo sapiens GN ECHS1 PE 1 SV 4,26,19,159.29,0.038814728,0.058560647,1.17739467,0.600971694,3;4;5;6;7;8;9;10,8,HCM,Control,5018.619253,5191.042082,5294.378086,6064.579781,5046.233262,4528.28695,5203.067229,6426.814054,6041.688633,5394.318245,5634.507958,6679.356928,5982.234873,5321.591353,5991.597725,5597.99648,8951.06468,x,,,HEART,PROT,HUMAN
IGKC_HUMAN,Ig kappa chain C region OS Homo sapiens GN IGKC PE 1 SV 1,16,11,88.88,0.039234395,0.058758561,1.44295607,0.598865225,1;2;3;4;5;6;7;8;10;11;12,11,HCM,Control,7345.280209,7810.567299,9235.002702,9075.531701,4947.341657,10284.25045,13951.56528,8076.447423,10594.95874,9778.408896,11535.41999,9749.891384,7705.677324,13390.87091,19035.66725,7429.104892,17578.55635,x,,,HEART,PROT,HUMAN
PROF1_HUMAN,Profilin 1 OS Homo sapiens GN PFN1 PE 1 SV 2,12,11,48.6,0.039544247,0.058790322,1.21624633,0.597321591,7;8;9;10,4,HCM,Control,4765.207594,4303.271119,3913.057701,5147.494384,4906.073313,5045.240456,8541.075442,5997.346704,4184.481412,5953.342447,4677.708214,4857.770383,5703.323059,5351.435894,5959.123691,5908.871793,5478.650583,x,,,HEART,PROT,HUMAN
TNNC1_HUMAN,Troponin C slow skeletal and cardiac muscles OS Homo sapiens GN TNNC1 PE 1 SV 1,12,8,51.85,0.040318684,0.059507316,1.55562746,0.593505834,1;2;3;4;5;6,6,HCM,Control,6075.749137,7779.335666,8853.272213,4910.683424,5958.517011,6147.934163,10553.83779,12920.33607,8809.081789,4725.650466,6575.88021,11495.58042,11018.47967,8993.44653,21395.32119,7227.416662,9581.422836,x,x,,HEART,PROT,HUMAN
POTEJ_HUMAN,POTE ankyrin domain family member J OS Homo sapiens GN POTEJ PE 3 SV 1,41,1,127.85,0.041213206,0.060389953,1.41660703,0.589171818,1;2;3;4;6;8;9;10,8,HCM,Control,26.89702567,30.18167987,51.61790633,32.93567387,28.25129855,43.15568663,33.39023488,42.73462146,52.01291495,59.16539193,38.40270303,43.59897145,32.2166911,40.66421978,91.06284047,58.87824609,61.16020121,x,,,HEART,PROT,HUMAN
PDIA6_HUMAN,Protein disulfide isomerase A6 OS Homo sapiens GN PDIA6 PE 1 SV 1,2,1,12.38,0.042034223,0.06068113,2.24857436,0.585261028,1,1,HCM,Control,25.33004267,0,0,6.788458657,51.55757919,0,42.65501754,18.24140216,8.392937583,47.49242727,62.43642694,29.07949279,24.11379047,30.73058637,32.60507642,0,49.19797237,x,x,x,HEART,PROT,HUMAN
BICR2_HUMAN,Bicaudal D related protein 2 OS Homo sapiens GN CCDC64B PE 2 SV 2,1,1,6.3,0.043224727,0.061565769,3.05406818,0.579700241,1,1,HCM,Control,446.5605508,286.6107419,1214.83612,380.2342812,593.625471,494.7510147,2355.787821,3558.585816,1897.022035,316.0610619,356.7539697,2757.628793,2196.548191,775.9367994,2793.931042,334.8818942,1786.934824,x,x,x,HEART,PROT,HUMAN
TTHY_HUMAN,Transthyretin OS Homo sapiens GN TTR PE 1 SV 1,13,12,90.43,0.044128719,0.061880317,1.46731862,0.57556164,1;2;3;4;5;6;9;10,8,HCM,Control,3365.168884,2713.093037,3096.405348,2899.432448,4228.074901,4244.318351,3647.324417,4084.561555,3270.238566,4208.982725,4219.097333,5316.618426,3779.867923,5242.024943,5544.576574,4329.187908,11629.31459,x,,,HEART,PROT,HUMAN
SRBS2_HUMAN,Sorbin and SH3 domain containing protein 2 OS Homo sapiens GN SORBS2 PE 1 SV 3,1,1,6.77,0.045115321,0.062134635,1.35877583,0.571124481,5,1,HCM,Control,342.8090175,403.3956551,426.6533008,320.9216238,372.446043,330.4056049,470.3481348,584.8808395,547.895453,588.7081916,351.5673514,357.5180223,468.8230295,388.2248052,871.2081962,516.9042205,325.9257537,x,,,HEART,PROT,HUMAN
WIT1_HUMAN,Putative Wilms tumor upstream neighbor 1 gene protein OS Homo sapiens GN WT1 AS PE 5 SV 2,1,1,11.7,0.045790292,0.062400472,1.83600224,0.568135304,1,1,HCM,Control,1243.834233,666.5357431,1859.296728,654.7248207,1697.430658,1353.836058,3052.194116,4051.17824,4143.96238,1778.325962,1020.009743,2219.98768,3499.26775,1139.505541,1714.235046,1478.668345,1065.761529,x,x,,HEART,PROT,HUMAN
ENOB_HUMAN,Beta enolase OS Homo sapiens GN ENO3 PE 1 SV 4,57,30,328.48,0.045955346,0.062400472,1.24086459,0.567409967,1;3;4;5;6;7;8;9;10,9,HCM,Control,13304.23977,12005.48827,13607.92995,16303.78151,12116.50521,13632.55829,16711.59575,16541.01345,12079.4369,15183.11513,13800.70602,15645.25798,13490.45402,21862.44423,24143.01326,15370.44184,19373.80926,x,,,HEART,PROT,HUMAN
KV401_HUMAN;KV402_HUMAN;KV403_HUMAN;KV404_HUMAN,Ig kappa chain V IV region Fragment OS Homo sapiens GN IGKV4 1 PE 4 SV 1,1,1,6.75,0.050460581,0.067616354,1.42404644,0.54841475,10,1,HCM,Control,220.7293789,287.3468001,343.4690815,269.5639097,167.2285809,261.952089,330.1842665,283.4244818,375.3774576,325.2021277,323.0129583,300.7219764,256.1651952,389.1736178,800.6682733,246.6242011,416.8674424,,,,HEART,PROT,HUMAN
RSSA_HUMAN,40S ribosomal protein SA OS Homo sapiens GN RPSA PE 1 SV 4,2,1,7.37,0.052079455,0.069052372,1.21757601,0.541942394,10,1,HCM,Control,155.2193304,153.902552,113.8220421,136.8192541,207.0915237,136.9278793,232.563907,222.9648992,144.6705321,142.8590858,139.6868159,214.5156407,182.6256268,193.1638388,189.544641,187.52619,167.3228032,,,,HEART,PROT,HUMAN
ACTN2_HUMAN,Alpha actinin 2 OS Homo sapiens GN ACTN2 PE 1 SV 1,146,88,817.23,0.052210305,0.069052372,1.58648760,0.541426871,1;2;3;4;5;6;7;8;9;10;11,11,HCM,Control,19446.24669,34007.10579,23950.44772,18456.20848,23475.38695,18765.75968,40947.32401,51959.31904,50240.02076,19262.11552,17985.63264,45319.51481,46956.97733,22169.38392,51765.3574,20640.18707,34429.74788,,x,,HEART,PROT,HUMAN
AATM_HUMAN,Aspartate aminotransferase mitochondrial OS Homo sapiens GN GOT2 PE 1 SV 3,137,110,549.85,0.053888193,0.070070243,1.15825760,0.534913826,1;3;4;5;6;7;8;9;10;11;12,11,HCM,Control,64933.02638,55385.08981,65682.15539,56409.9306,51507.90625,69628.53728,60167.67275,77518.35047,52632.68602,73883.50256,68437.41296,59171.96844,69043.77184,70024.56652,83174.2242,78703.23877,79223.82603,,,,HEART,PROT,HUMAN
