Protein IDs,Protein names,Gene names,TPA_WT1,TPA_WT2,TPA_WT3,TPA_WT4,TPA_ob1,TPA_ob2,TPA_ob3,TPA_ob4,Student's T-test Significant ob_lean,-Log Student's T-test p-value ob_lean,Student's T-test q-value ob_lean,Student's T-test Difference ob_lean,Student's T-test Test statistic ob_lean,Tissue,Ome,Species
A0A075B5P6;P01872;A0A075B6A0;P01872-2,Ig mu chain C region,Ighm,-13.48031616,-14.8569994,-14.82054138,-15.18899059,-13.29719639,-12.94450951,-14.17183495,-13.39927959,,1.317565419,0.145330896,1.133506775,2.031420036,LIVER,PROT,MOUSE
A0A075B5Q9;A0A0A6YWC7;A0A075B5Q4;P18525,Ig heavy chain V region 5-84,Ighv5-15;Ighv5-12,-20.11515045,-21.95988083,-20.12713432,-21.47696304,-19.35897064,-20.78670502,-20.06609535,-19.88713264,,0.799428684,0.306852343,0.895056248,1.3639738,LIVER,PROT,MOUSE
A0A075B5R5,,Ighv4-1,-22.19260597,-19.93801117,-19.71830177,-21.29714203,-19.92628098,-22.66615295,-19.7531147,-20.29334831,,0.049626986,0.93826129,0.126791,0.127389778,LIVER,PROT,MOUSE
A0A075B5S9;A0A075B5S1;A0A0B4J1P3;A0A0B4J1J5;A0A0B4J1J4;A0A0A6YWH6,,Ighv9-4;Ighv9-1;Ighv9-3;Ighv9-2,-21.63598824,-18.35086823,-20.23536873,-17.74067879,-22.36077881,-21.73748779,-18.54296112,-20.02948761,,0.421142741,0.515634647,-1.176952839,-0.878319138,LIVER,PROT,MOUSE
A0A075B5T2;A0A075B5T3;P01800;P01799;P01798;P01797;P01796;P01802;P01801,Ig heavy chain V-III region T957;Ig heavy chain V-III region ABE-47N;Ig heavy chain V-III region E109;Ig heavy chain V-III region U61;Ig heavy chain V-III region A4;Ig heavy chain V-III region W3082;Ig heavy chain V-III region J606,Ighv6-3;Ighv6-6,-18.24003983,-19.05478287,-18.69654083,-17.70233727,-18.038517,-19.42103195,-18.52802277,-18.83875275,,0.28635639,0.701981628,-0.283155918,-0.553478966,LIVER,PROT,MOUSE
A0A075B5V0;P06330;P01757;P01756,Ig heavy chain V region AC38 205.12;Ig heavy chain V region J558;Ig heavy chain V region MOPC 104E,Ighv1-26,-16.69595528,-17.54134941,-19.16489792,-20.97330284,-21.37123108,-15.92413044,-17.12811279,-16.52560425,,0.220621338,0.718756789,0.856606722,0.517472309,LIVER,PROT,MOUSE
A0A075B5V8;A0A0A6YY41,,Ighv1-47,-21.1105175,-22.18698502,-21.56025696,-17.83123589,-16.73633766,-19.0353508,-19.00261116,-20.74326324,,0.680405305,0.327642887,1.792858124,1.305600894,LIVER,PROT,MOUSE
A0A075B5Y4;A0A0B4J1M0;A0A075B674;A0A075B680;A0A0G2JGS9;A0A0G2JGN3;A0A075B5Y3;A0A075B5X2;A0A075B5W5;A0A075B5T7;A0A075B5T4;A0A0G2JFL3;A0A0A6YXZ4;P06327;P01747;P01746,Ig heavy chain V region VH558 A1/A4;Ig heavy chain V region 36-65;Ig heavy chain V region 93G7,Ighv1-81;Ighv1-77;Ighv1-78;Ighv1-62-2;Ighv1-80;Ighv1-63;Ighv1-54;Ighv1-7;Ighv1-4;Gm5629,-16.72846794,-17.90560722,-17.02659416,-21.98694992,-17.40385056,-17.08755493,-17.8813839,-18.34336281,,0.237666678,0.70469662,0.732866764,0.543560216,LIVER,PROT,MOUSE
A0A075B664;A0A075B663;P01728;P01723;P01727;P01729;P01726,Ig lambda-2 chain V region;Ig lambda-1 chain V region;Ig lambda-1 chain V region S43;Ig lambda-2 chain V region MOPC 315;Ig lambda-1 chain V region H2020,Iglv2;Iglv1,-18.0477829,-19.48552322,-17.82654381,-17.06254196,-17.14172745,-20.08825874,-19.08120155,-18.32303429,,0.287306101,0.668585387,-0.552957535,-0.613354836,LIVER,PROT,MOUSE
A0A075B6A3;A0A0A6YXW6;P01878,Ig alpha chain C region,Igha,-13.65615368,-14.0432148,-13.29913998,-13.81336498,-14.48556995,-14.64679527,-14.09664249,-14.75034237,,2.012649247,0.07795679,-0.791869164,-2.536580607,LIVER,PROT,MOUSE
A0A087WNS9;A0A087WQ65;A0A087WRZ2;A0A087WNT2;A0A087WPY4;Q99JA5;Q64253,Lymphocyte antigen 6E,Ly6e,-20.19814873,-19.23104095,-19.4941597,-22.39825821,-19.37612534,-19.21775055,-18.67788696,-19.99831772,,0.627833244,0.380231189,1.012881756,1.166219835,LIVER,PROT,MOUSE
A0A087WNV1;A0A087WSR7;A0A087WR52;Q8K2K6-3;Q8K2K6-1;Q8K2K6;Q8K2K6-2;A0A087WRL1,Arf-GAP domain and FG repeat-containing protein 1,Agfg1,-14.47039413,-14.58168983,-14.44584179,-15.27890396,-14.30808163,-13.80527115,-14.41268444,-14.95876122,,0.475561994,0.564647286,0.323007822,0.791909421,LIVER,PROT,MOUSE
A0A087WNZ7;G5E870;A0A0B4J1N9;A0A087WP92;A0A087WQ02;A0A087WRV6;Q3TP48;A0A087WS65;A0A087WSG4,E3 ubiquitin-protein ligase TRIP12,Trip12,-16.07601738,-15.98693466,-15.90506077,-15.14686584,-15.01279163,-16.02042389,-16.6526413,-16.87772942,,0.328605086,0.655058612,-0.362176895,-0.636579517,LIVER,PROT,MOUSE
A0A087WP63;A0A087WNX7;A0A087WNL7;A0A087WQ44;Q8BQA6;A0A087WSL6;A0A087WS36;E9Q9V7;A0A087WQY5,,Srcap,-12.64801693,-13.37983704,-12.75462723,-20.25147057,-12.17221928,-20.42638397,-20.33049011,-21.23716354,,0.642722764,0.329979347,-3.783076286,-1.297532849,LIVER,PROT,MOUSE
A0A087WPH7,,Psmc3,-17.36804008,-16.95202255,-16.84387207,-18.99115372,-16.98083687,-20.24949646,-17.29812431,-17.18013573,,0.162183597,0.79768732,-0.388376236,-0.379894621,LIVER,PROT,MOUSE
A0A087WPL5;O70133;O70133-3;A0A0R4J2C3;A0A087WRT3,ATP-dependent RNA helicase A,Dhx9,-20.4253521,-19.68423653,-19.30095863,-19.92888832,-19.47535133,-20.85943604,-19.40302658,-21.08621597,,0.310612485,0.667506717,-0.371148586,-0.61469977,LIVER,PROT,MOUSE
A0A087WPR9;Q6NS82-3;Q6NS82;Q6NS82-2;A0A087WRH7,Protein FAM134A,Fam134a,-16.11836243,-16.4637928,-16.64057922,-15.89755535,-16.22417641,-15.91788292,-16.8381424,-16.51878738,,0.138500079,0.863627461,-0.094674826,-0.263943634,LIVER,PROT,MOUSE
A0A087WPT7;Q6P549;A0A1B0GR64;A0A1B0GST7,Phosphatidylinositol 3.4.5-trisphosphate 5-phosphatase 2,Inppl1,-18.28222847,-17.81515694,-18.33782196,-18.05334854,-17.177248,-17.13720322,-17.10848618,-17.65686607,+,2.537356117,0.040595533,0.85218811,3.083949037,LIVER,PROT,MOUSE
A0A087WQ61;A0A087WQU0;Q8C134;Q9ERD6-2;Q9ERD6-3;Q9ERD6-4;Q9ERD6;A0A087WPL3;A0A0A0MQE4;A2AR50-2;A2AR50-3;A2AR50,Ras-specific guanine nucleotide-releasing factor RalGPS2,Ralgps2,-21.62925911,-22.88615227,-21.49958801,-21.27133369,-19.79916382,-19.08573723,-19.21093178,-20.03245354,+,2.756713693,0.012055172,2.289511681,4.334112269,LIVER,PROT,MOUSE
A0A087WQ86;E9QM99;Q8BZN6-4;A0A087WRP5;Q8BZN6;Q8BZN6-2;Q8BZN6-3;A0A0R4J2B7;Q8BLX9;A0A087WQA1,Dedicator of cytokinesis protein 10,Dock10,-21.63401985,-19.70782471,-21.89632797,-21.11074257,-18.58348274,-20.6433239,-18.14610672,-19.21011734,,1.42249093,0.099195062,1.9414711,2.33520201,LIVER,PROT,MOUSE
A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4,Transcription elongation factor B polypeptide 1,Tceb1,-14.55784035,-13.47509766,-13.23200321,-15.24036407,-14.26642895,-15.18873215,-13.24319267,-14.27667236,,0.068035793,0.914938473,-0.11743021,-0.164110576,LIVER,PROT,MOUSE
A0A087WQH8,,Slc35a4,-18.4623642,-18.19532776,-18.3463459,-20.9911232,-21.52696609,-21.79467201,-18.50984192,-18.36427689,,0.403486514,0.5358493,-1.050148964,-0.842628324,LIVER,PROT,MOUSE
A0A087WQI6,Glutathione S-transferase,Gsta3,-15.5935297,-16.45960045,-16.08702278,-13.89647007,-13.95635128,-14.81122494,-14.8647604,-16.51862526,,0.246097258,0.708840295,0.471415281,0.536089747,LIVER,PROT,MOUSE
A0A087WQN7;F8VQ87;P97789-3;P97789-2;P97789;A0A087WNV6,5-3 exoribonuclease 1,Xrn1,-16.78783607,-17.64093781,-17.8791275,-16.45415115,-17.06913376,-16.48584175,-17.3080101,-16.85053825,,0.285866569,0.704205488,0.262132168,0.544311983,LIVER,PROT,MOUSE
A0A087WQQ5;A0A087WS29;A0A087WP85;Q61595-5;A0A087WP48;A0A087WQD0;Q61595-3;Q61595-10,,Ktn1,-13.79666138,-13.72290134,-13.66637135,-13.6541996,-13.47739124,-12.77868557,-13.47783661,-13.53747654,,1.11889085,0.300788783,0.392185926,1.384915035,LIVER,PROT,MOUSE
A0A087WQS0;A0A1D5RM59;E9Q0S6;A0A087WQM0;A0A087WRU0;A0A087WQ94;Q9DBT6;A0A087WP40;A0A087WR29;A0A087WS32;A0A087WSC8;A0A087WRZ8;A0A087WPC7,,Tns1,-13.44887638,-13.73726273,-13.58137703,-12.974617,-13.16171741,-13.61562538,-13.36593819,-13.53709221,,0.027422908,0.97506634,0.015439987,0.0527134,LIVER,PROT,MOUSE
A0A087WQS2;Q9CQC6;A0A087WPF9;A0A087WS48,Basic leucine zipper and W2 domain-containing protein 1,Bzw1,-12.86363983,-12.49893475,-12.55980015,-12.82606888,-12.68118477,-12.83322048,-13.14603138,-12.44690704,,0.205666439,0.826142436,-0.089725018,-0.328538823,LIVER,PROT,MOUSE
A0A087WQT6;O89110,Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10,Casp8,-13.69146442,-13.7479229,-13.61495018,-15.08857441,-13.93178082,-15.27238083,-13.89532661,-13.67153168,,0.115142603,0.865564415,-0.157027006,-0.25882898,LIVER,PROT,MOUSE
A0A087WQW8,,Fn1,-19.07744598,-17.94514656,-18.86773491,-19.42383957,-21.15524101,-21.12834167,-19.51089668,-18.80410767,,1.017340554,0.207959079,-1.321105003,-1.715859839,LIVER,PROT,MOUSE
A0A087WQY7;A2AMZ4,Uncharacterized protein C17orf89 homolog,1810043H04Rik,-21.08319092,-20.05878067,-20.35859108,-19.74774551,-19.90138817,-20.45305634,-19.37104034,-20.56936646,,0.243889804,0.740957813,0.23836422,0.479492714,LIVER,PROT,MOUSE
A0A087WR50;P11276;Q3UHL6;A0A087WS56;Q4KL80;A0A087WS99;A0A087WSU6;A0A087WQE0,Fibronectin;Anastellin,Fn1,-11.46807671,-11.38554573,-11.09887123,-11.0216608,-10.40470982,-10.28924084,-10.48186111,-10.6972065,+,2.86262398,0.033403509,0.775284052,3.253777359,LIVER,PROT,MOUSE
A0A087WR75;Q7TT18;A0A0N4SVP5;A0A087WR39;A0A087WQB3,Activating transcription factor 7-interacting protein 1,Atf7ip,-19.40245819,-19.22587395,-18.80973053,-19.6366806,-19.70986557,-18.34323502,-20.44509506,-15.8273077,,0.275915687,0.672063075,0.68730998,0.607727261,LIVER,PROT,MOUSE
A0A087WRA4;D0QMC3;A0A087WSH9;A0A087WQG9;O35368-2;O35368;O35368-3,Myeloid cell nuclear differentiation antigen-like protein,Mndal,-17.82137489,-18.29282188,-17.40642929,-17.57287979,-16.53432655,-16.31508064,-16.56806183,-19.04059219,,0.437439518,0.530583763,0.65886116,0.852621228,LIVER,PROT,MOUSE
A0A087WRA7,,Ppp1r7,-19.22960281,-19.63251114,-19.64272499,-18.59967995,-17.88384819,-17.79773521,-19.01169395,-19.00387001,,1.059919806,0.224656361,0.85184288,1.647637919,LIVER,PROT,MOUSE
A0A087WRB7;E9PX43;Q7TQG1;A0A087WP13;A0A087WP37;A0A087WPX6;A0A1D5RME6,Pleckstrin homology domain-containing family A member 6,Plekha6,-15.55943108,-15.6603899,-15.48143959,-15.54520607,-15.74998856,-15.41466427,-17.23365211,-16.28820801,,0.752017777,0.354971037,-0.610011578,-1.222901557,LIVER,PROT,MOUSE
A0A087WRE5;Q6P3D0;A0A087WSB5,U8 snoRNA-decapping enzyme,Nudt16,-17.27598,-16.87930489,-16.65932655,-18.12958145,-17.80957603,-19.3142128,-16.98904991,-17.97573853,,0.648848271,0.385248288,-0.786096096,-1.155153485,LIVER,PROT,MOUSE
A0A087WRE7;Q8R0N6;Q8R0N6-2,Hydroxyacid-oxoacid transhydrogenase. mitochondrial,Adhfe1,-12.36363506,-11.97546005,-12.43760109,-12.28244209,-12.72531605,-13.21315193,-13.0773859,-12.60318947,,1.963230024,0.10136253,-0.639976263,-2.318763254,LIVER,PROT,MOUSE
A0A087WRF2;Q8BXK8;E9Q3K3,Arf-GAP with GTPase. ANK repeat and PH domain-containing protein 1,Agap1,-21.54519463,-21.45498657,-21.06445885,-19.20731163,-20.86187744,-21.87618256,-20.55042839,-21.20185661,,0.194665783,0.771994767,-0.304598331,-0.425188752,LIVER,PROT,MOUSE
A0A087WRH2;Q9WUD8;D3Z3C1;J3QPY3,Fas apoptotic inhibitory molecule 1,Faim,-19.20186424,-17.61659622,-17.29627609,-21.52925682,-21.2299366,-20.33783913,-21.24477005,-19.1099968,,0.698840436,0.32244191,-1.569637299,-1.318604511,LIVER,PROT,MOUSE
A0A087WRY3;Q80XU3,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,Nucks1,-14.08103943,-14.22740459,-14.3553791,-14.27139282,-13.85999012,-13.01292038,-14.64994431,-14.67645645,,0.180183796,0.802001783,0.183976173,0.369217315,LIVER,PROT,MOUSE
A0A087WS96;Q8BG73;A0A087WQU5,SH3 domain-binding glutamic acid-rich-like protein;SH3 domain-binding glutamic acid-rich-like protein 2,Sh3bgrl2,-17.69366837,-17.08990097,-17.10025215,-21.37159157,-21.6231308,-21.08697319,-17.24017525,-16.48314285,,0.186816042,0.757344755,-0.794502258,-0.449764036,LIVER,PROT,MOUSE
A0A087WSK7;Q921I0,ORM1-like protein 1,Gm28778;Ormdl1,-17.96270752,-18.58112717,-18.34213066,-15.90689468,-17.33886909,-17.00992012,-21.35873032,-18.14356041,,0.270365987,0.674523695,-0.764554977,-0.603561666,LIVER,PROT,MOUSE
A0A087WSN6;B9EHT6;B7ZNJ1,,Fn1,-19.83224678,-20.00977516,-20.59622002,-18.52887917,-19.49079704,-18.08571815,-19.78333664,-20.81029129,,0.103034326,0.871717685,0.199244499,0.245586479,LIVER,PROT,MOUSE
A0A087WSR1;A0A087WNR1;E9Q917;G3UWF0;Q80XQ8,Myelin-associated neurite-outgrowth inhibitor,Fam168b,-19.54105568,-19.41991806,-19.76723289,-22.03984451,-21.38386536,-21.17708778,-21.91457939,-22.00632477,,1.14861612,0.17372067,-1.428451538,-1.899294329,LIVER,PROT,MOUSE
A0A087WSS1;E9QM90;Q148V7-2;Q148V7;Q148V7-3;A0A087WPW3;A0A087WRM8,LisH domain and HEAT repeat-containing protein KIAA1468,2310035C23Rik;Kiaa1468,-16.88045502,-17.41706467,-16.60629654,-17.12399483,-17.12343597,-18.17395592,-17.97364998,-17.80349541,,1.427025003,0.158391042,-0.761681557,-1.972762855,LIVER,PROT,MOUSE
A0A0A0MQ68;Q60759;D3Z4I2,Glutaryl-CoA dehydrogenase. mitochondrial,Gcdh,-10.68793774,-10.58761024,-10.8637228,-10.33796787,-10.43679523,-10.69743347,-10.5756731,-10.38768005,,0.306633452,0.781075468,0.094914198,0.412244494,LIVER,PROT,MOUSE
A0A0A0MQ70;Q5SWT3,Solute carrier family 25 member 35,Slc25a35,-18.93998909,-21.58063698,-19.3532486,-21.70809746,-18.51859665,-22.30501747,-20.76532364,-19.46376801,,0.041953738,0.945648358,0.132316589,0.1105569,LIVER,PROT,MOUSE
A0A0A0MQ79;Q3TLH4;S4R2J9;Q3TLH4-5;S4R294;S4R209;S4R2E2;S4R2L9;S4R298,Protein PRRC2C,Prrc2c,-14.16355896,-14.18545723,-14.12647438,-13.89735317,-13.96867943,-13.92761326,-13.96451092,-14.1747427,,0.432557042,0.756377358,0.08432436,0.451167838,LIVER,PROT,MOUSE
A0A0A0MQ80;Q3UMC0;A0A0G2JFY0;D3Z0U5;D6RGM7;D3Z4J2;Q9D3R6-3;Q9D3R6,Spermatogenesis-associated protein 5,Spata5,-15.26088142,-14.59656429,-14.91044426,-15.45802212,-15.58789063,-15.43953609,-15.83261013,-15.44085121,,1.301813395,0.22,-0.518743992,-1.663257007,LIVER,PROT,MOUSE
A0A0A0MQ90;P97352,Protein S100-A13,S100a13,-14.68941212,-14.35971928,-14.50216007,-14.69731617,-15.51297379,-14.1011076,-14.03070641,-14.53167629,,0.017422068,0.980684361,0.018035889,0.03999808,LIVER,PROT,MOUSE
A0A0A0MQ98;G3UZM1;Q69ZK6;G3UYW3,Probable JmjC domain-containing histone demethylation protein 2C,Jmjd1c,-19.52717781,-20.58861542,-20.01888466,-19.47855186,-21.97867012,-19.28315926,-21.97873878,-22.33650017,,1.019694218,0.200862797,-1.490959644,-1.744678756,LIVER,PROT,MOUSE
A0A0A0MQA5;P68368;A0A087WQS4;A0A087WRB4;A0A087WSB0;A0A087WSL5;Q3UX10;A0A087WS35,Tubulin alpha-4A chain,Tuba4a,-11.99035072,-11.95290375,-12.04157162,-12.24266052,-12.47916222,-12.08016968,-12.51866817,-12.40821838,,1.418784946,0.282549094,-0.314682961,-1.438000953,LIVER,PROT,MOUSE
A0A0A0MQC7;A2A5Y6;P10637;P10637-2;P10637-4;P10637-6;P10637-3;P10637-5,Microtubule-associated protein;Microtubule-associated protein tau,Mapt,-19.07043076,-17.0706768,-21.6295681,-19.56607819,-18.43056679,-17.02673721,-18.94975281,-18.24073601,,0.530890228,0.429542433,1.172240257,1.045937708,LIVER,PROT,MOUSE
A0A0A0MQC9;Q9D0R8,Protein LSM12 homolog,Lsm12,-16.05068779,-16.06210136,-16.07107162,-17.9586544,-16.44684982,-16.53248024,-16.89166069,-16.81472397,,0.102664923,0.878058027,-0.135799885,-0.231583365,LIVER,PROT,MOUSE
A0A0A0MQD1;Q8K1H1,Tudor domain-containing protein 7,Tdrd7,-16.67757607,-17.45029068,-17.04868507,-15.93546867,-16.0222187,-15.74709034,-17.54894829,-17.24087143,,0.091794402,0.890483573,0.138222933,0.213114155,LIVER,PROT,MOUSE
A0A0A0MQD4;Q8K201,Keratinocyte-associated transmembrane protein 2,9530068E07Rik;Kct2,-19.02364731,-19.76222038,-18.01635361,-22.39953995,-18.87800598,-18.37706375,-18.86540985,-18.49156189,,0.567379628,0.40833843,1.147429943,1.096871943,LIVER,PROT,MOUSE
A0A0A0MQD5;Q4ACU6;Q4ACU6-2;Q4ACU6-8;Q4ACU6-7;Q4ACU6-11;Q4ACU6-3;Q4ACU6-6;Q4ACU6-10;Q4ACU6-9;E9Q1P5;Q4ACU6-12,SH3 and multiple ankyrin repeat domains protein 3,Shank3,-19.47032356,-19.06126213,-19.45586014,-18.74487877,-20.5580883,-18.54990387,-18.84278297,-18.22224617,,0.092885266,0.889332268,0.139825821,0.2154651,LIVER,PROT,MOUSE
A0A0A0MQD7;A3KGS3-2;A3KGS3;F7CGP0;F7AI67;Q6GYP7-5;Q6GYP7-3,Ral GTPase-activating protein subunit alpha-2,Ralgapa2,-16.88053322,-16.38592148,-16.25745773,-16.77506256,-17.11556244,-16.70948601,-16.97975349,-16.3124485,,0.385225159,0.667109837,-0.204568863,-0.61612147,LIVER,PROT,MOUSE
A0A0A0MQF5;Q8K2H2;F6VDQ9,OTU domain-containing protein 6B,Otud6b,-17.81793213,-16.48586845,-16.4587307,-17.04738426,-18.79049492,-16.75366592,-18.32793427,-17.40857315,,0.76846248,0.321541455,-0.867688179,-1.320270522,LIVER,PROT,MOUSE
A0A0A0MQF6;P16858;S4R257;V9GXA7;V9GX06;S4R1N5;V9GXK0,Glyceraldehyde-3-phosphate dehydrogenase,Gapdh,-8.04756546,-7.912435055,-7.956251144,-7.68399334,-7.52785635,-7.296047211,-7.658598423,-7.443814754,,2.077446423,0.150694023,0.418482065,2.007804058,LIVER,PROT,MOUSE
A0A0A0MQK3;F6XZS9;Q9WTN3-3;Q9WTN3;Q9WTN3-4;Q9WTN3-2,Sterol regulatory element-binding protein 1;Processed sterol regulatory element-binding protein 1,Srebf1,-21.85944176,-23.86991119,-23.12704659,-21.11224747,-19.2017765,-20.83536148,-21.2951107,-21.13502312,,1.267764533,0.131067337,1.8753438,2.120331187,LIVER,PROT,MOUSE
A0A0A0MQM6;I1E4X2;A0A0A0MQE0;E9Q6Z8;F8VQL7;A0A0R4J1Z4;P25425-10;P25425-4;P25425-7;P25425-9;P25425-11;P25425-8;P25425-3;P25425-6;P25425-2;P25425-5;P25425;P25425-12;Q3U5D1;H3BJT4;H3BKB7;Q00196-4;Q00196-6;P31362;Q00196;Q00196-2;Q00196-3;Q00196-7;Q00196-5,POU domain protein;POU domain. class 2. transcription factor 1,Pou2f1,-18.35056877,-18.60308266,-18.26214218,-20.2184639,-19.00854111,-21.32294083,-19.72868156,-21.55411339,,1.039462836,0.195476223,-1.545004845,-1.777621137,LIVER,PROT,MOUSE
A0A0A0MQN1;Q5RL79,Keratinocyte-associated protein 2,Krtcap2,-14.1816349,-13.60930538,-13.90733337,-15.00236416,-14.44907188,-14.61009502,-14.75511837,-14.50267601,,0.626844367,0.452992334,-0.404080868,-0.992849467,LIVER,PROT,MOUSE
A0A0A0MQN4;Q9D906;S4R2D5;S4R2T5;S4R2P7;S4R1T0;S4R1N8;S4R1U3;S4R1W9;S4R1K1,Ubiquitin-like modifier-activating enzyme ATG7,Atg7,-14.05503464,-14.01525211,-14.14358234,-14.2574501,-14.19378757,-13.51480103,-14.17822838,-13.74985409,,0.554429887,0.585148009,0.208662033,0.757833369,LIVER,PROT,MOUSE
A0A0A0MQP1;A0A0A0MQK4;Q8R526,Polycystic kidney disease protein 1-like 1,Pkd1l1,-22.69210052,-18.24614334,-17.66151428,-15.7043438,-15.91591072,-15.18826389,-15.93207359,-16.70415878,,0.884625951,0.226165877,2.640923738,1.642517715,LIVER,PROT,MOUSE
A0A0A6YVR9;P09925;V9GXE6,Surfeit locus protein 1,Surf1,-15.47732735,-15.39634895,-15.54755306,-16.09911346,-16.45321846,-16.18128395,-15.81453896,-15.46090126,,0.613483283,0.478809259,-0.34739995,-0.94237325,LIVER,PROT,MOUSE
A0A0A6YVS2;Q921L3;A0A0A6YW31,Transmembrane and coiled-coil domain-containing protein 1,Tmco1,-14.02964687,-14.18853855,-14.11470222,-13.98524284,-12.91802788,-12.93282032,-12.90257931,-13.64669323,+,2.701875763,0.028712871,0.979502439,3.402932088,LIVER,PROT,MOUSE
A0A0A6YVU8;Q9JKV1;D3YUD8,Proteasomal ubiquitin receptor ADRM1,Gm9774;Adrm1,-13.04618931,-13.88689041,-13.753685,-12.94449806,-12.90670586,-12.7404604,-12.74543476,-13.26897812,,0.925391494,0.319118124,0.492420912,1.328454473,LIVER,PROT,MOUSE
A0A0A6YVU9;A0A0R4J0K6;Q91VA3,Calpain-8,Capn8,-21.90739441,-20.05589867,-20.05739403,-21.26895523,-18.97273254,-22.13305092,-20.28015518,-18.00898933,,0.432063519,0.513919243,0.973678589,0.881641852,LIVER,PROT,MOUSE
