Uniprot ID,Entry name,Gene name,Protein name,SWATH_T2D,SWATH_IGT,SWATH_IFG,SWATH_NGT,ANOVA_p-value,ANOVA_q-value,Tissue,Ome,Species
P02763,A1AG1_HUMAN,ORM1,Alpha-1-acid glycoprotein 1,1.47E+05,1.79E+05,1.37E+05,1.31E+05,5.42E-01,6.79E-01,SKM-VL,PROT,HUMAN
P01009,A1AT_HUMAN,SERPINA1,Alpha-1-antitrypsin,1.70E+05,2.07E+05,1.85E+05,2.20E+05,2.62E-01,4.35E-01,SKM-VL,PROT,HUMAN
P04217,A1BG_HUMAN,A1BG,Alpha-1B-glycoprotein,1.28E+05,2.18E+05,1.53E+05,1.83E+05,1.87E-01,3.42E-01,SKM-VL,PROT,HUMAN
P01023,A2MG_HUMAN,A2M,Alpha-2-macroglobulin,3.29E+05,3.74E+05,3.01E+05,3.77E+05,8.82E-02,2.02E-01,SKM-VL,PROT,HUMAN
P01011,AACT_HUMAN,SERPINA3,Alpha-1-antichymotrypsin,1.41E+04,2.61E+04,2.57E+04,3.33E+04,2.91E-04,3.45E-03,SKM-VL,PROT,HUMAN
O43741,AAKB2_HUMAN,PRKAB2,5'-AMP-activated protein kinase subunit beta-2,3.70E+04,3.87E+04,2.99E+04,3.44E+04,3.52E-01,5.23E-01,SKM-VL,PROT,HUMAN
P54619,AAKG1_HUMAN,PRKAG1,5'-AMP-activated protein kinase subunit gamma-1,1.89E+05,2.17E+05,2.21E+05,2.45E+05,4.30E-02,1.24E-01,SKM-VL,PROT,HUMAN
Q9UGI9,AAKG3_HUMAN,PRKAG3,5'-AMP-activated protein kinase subunit gamma-3,3.71E+04,3.31E+04,5.08E+04,4.18E+04,1.92E-01,3.48E-01,SKM-VL,PROT,HUMAN
Q9H7C9,AAMDC_HUMAN,AAMDC,Mth938 domain-containing protein,7.09E+05,9.03E+05,7.59E+05,8.38E+05,1.53E-01,2.96E-01,SKM-VL,PROT,HUMAN
P54646,AAPK2_HUMAN,PRKAA2,5'-AMP-activated protein kinase catalytic subunit alpha-2,4.73E+05,4.55E+05,4.76E+05,5.37E+05,2.87E-01,4.59E-01,SKM-VL,PROT,HUMAN
P17174,AATC_HUMAN,GOT1,"Aspartate aminotransferase, cytoplasmic",1.02E+07,1.09E+07,1.12E+07,1.29E+07,3.84E-06,1.28E-04,SKM-VL,PROT,HUMAN
P00505,AATM_HUMAN,GOT2,"Aspartate aminotransferase, mitochondrial",4.47E+06,4.38E+06,5.28E+06,6.58E+06,4.02E-03,2.49E-02,SKM-VL,PROT,HUMAN
O94911,ABCA8_HUMAN,ABCA8,ATP-binding cassette sub-family A member 8,1.39E+04,1.98E+04,1.44E+04,1.60E+04,6.53E-01,7.62E-01,SKM-VL,PROT,HUMAN
O75027,ABCB7_HUMAN,ABCB7,"ATP-binding cassette sub-family B member 7, mitochondrial",1.23E+05,9.23E+04,1.17E+05,1.80E+05,6.81E-03,3.64E-02,SKM-VL,PROT,HUMAN
Q9NRK6,ABCBA_HUMAN,ABCB10,"ATP-binding cassette sub-family B member 10, mitochondrial",1.43E+04,2.67E+04,1.53E+04,1.68E+04,4.00E-01,5.63E-01,SKM-VL,PROT,HUMAN
O60706,ABCC9_HUMAN,ABCC9,ATP-binding cassette sub-family C member 9,5.78E+03,1.02E+04,8.90E+03,9.95E+03,1.24E-01,2.59E-01,SKM-VL,PROT,HUMAN
P61221,ABCE1_HUMAN,ABCE1,ATP-binding cassette sub-family E member 1,3.58E+05,4.08E+05,4.44E+05,4.17E+05,8.87E-01,9.28E-01,SKM-VL,PROT,HUMAN
Q8NE71,ABCF1_HUMAN,ABCF1,ATP-binding cassette sub-family F member 1,2.40E+04,3.95E+04,4.30E+04,5.97E+04,4.27E-02,1.24E-01,SKM-VL,PROT,HUMAN
Q9UG63,ABCF2_HUMAN,ABCF2,ATP-binding cassette sub-family F member 2,5.87E+04,9.17E+04,6.91E+04,8.88E+04,2.54E-02,8.64E-02,SKM-VL,PROT,HUMAN
Q9NUQ8,ABCF3_HUMAN,ABCF3,ATP-binding cassette sub-family F member 3,1.95E+04,2.22E+04,2.88E+04,2.74E+04,1.09E-01,2.35E-01,SKM-VL,PROT,HUMAN
Q9Y235,ABEC2_HUMAN,APOBEC2,C->U-editing enzyme APOBEC-2,4.58E+06,5.01E+06,4.34E+06,4.68E+06,3.22E-01,4.97E-01,SKM-VL,PROT,HUMAN
Q8WTS1,ABHD5_HUMAN,ABHD5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5,1.55E+04,2.08E+04,1.51E+04,2.08E+04,3.43E-01,5.17E-01,SKM-VL,PROT,HUMAN
Q9NUJ1,ABHDA_HUMAN,ABHD10,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",7.49E+04,1.14E+05,8.53E+04,1.11E+05,8.21E-02,1.95E-01,SKM-VL,PROT,HUMAN
Q8NFV4,ABHDB_HUMAN,ABHD11,Protein ABHD11,1.97E+04,2.65E+04,3.48E+04,1.55E+04,8.91E-02,2.04E-01,SKM-VL,PROT,HUMAN
Q96IU4,ABHEB_HUMAN,ABHD14B,Protein ABHD14B,4.66E+04,5.75E+04,5.68E+04,5.70E+04,1.11E-01,2.39E-01,SKM-VL,PROT,HUMAN
O95870,ABHGA_HUMAN,ABHD16A,Phosphatidylserine lipase ABHD16A,2.21E+04,2.12E+04,2.71E+04,3.49E+04,3.94E-03,2.47E-02,SKM-VL,PROT,HUMAN
O14639,ABLM1_HUMAN,ABLIM1,Actin-binding LIM protein 1,2.50E+04,4.61E+04,3.37E+04,3.89E+04,2.73E-02,9.09E-02,SKM-VL,PROT,HUMAN
Q6H8Q1,ABLM2_HUMAN,ABLIM2,Actin-binding LIM protein 2,2.70E+05,2.87E+05,2.66E+05,3.02E+05,1.92E-01,3.48E-01,SKM-VL,PROT,HUMAN
O00763,ACACB_HUMAN,ACACB,Acetyl-CoA carboxylase 2,2.03E+04,2.71E+04,2.01E+04,1.93E+04,5.16E-01,6.58E-01,SKM-VL,PROT,HUMAN
Q9UKU7,ACAD8_HUMAN,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial",1.99E+05,1.87E+05,1.60E+05,2.22E+05,9.46E-03,4.50E-02,SKM-VL,PROT,HUMAN
Q9H845,ACAD9_HUMAN,ACAD9,"Complex I assembly factor ACAD9, mitochondrial",4.01E+04,4.19E+04,4.14E+04,5.03E+04,8.63E-02,1.99E-01,SKM-VL,PROT,HUMAN
P11310,ACADM_HUMAN,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",2.25E+06,2.36E+06,2.48E+06,3.05E+06,3.35E-06,1.17E-04,SKM-VL,PROT,HUMAN
P16219,ACADS_HUMAN,ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",1.51E+06,1.43E+06,1.43E+06,1.65E+06,1.20E-01,2.53E-01,SKM-VL,PROT,HUMAN
P49748,ACADV_HUMAN,ACADVL,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",9.33E+06,9.39E+06,9.72E+06,1.06E+07,1.07E-02,4.83E-02,SKM-VL,PROT,HUMAN
P07108,ACBP_HUMAN,DBI,Acyl-CoA-binding protein,6.85E+05,9.19E+05,8.09E+05,8.04E+05,5.29E-02,1.43E-01,SKM-VL,PROT,HUMAN
P45954,ACDSB_HUMAN,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",2.19E+05,2.78E+05,2.35E+05,2.87E+05,1.02E-03,8.85E-03,SKM-VL,PROT,HUMAN
Q9NPJ3,ACO13_HUMAN,ACOT13,Acyl-coenzyme A thioesterase 13,1.93E+05,1.42E+05,1.63E+05,1.60E+05,5.76E-01,7.06E-01,SKM-VL,PROT,HUMAN
P21399,ACOC_HUMAN,ACO1,Cytoplasmic aconitate hydratase,5.22E+05,5.12E+05,4.84E+05,4.82E+05,7.85E-01,8.62E-01,SKM-VL,PROT,HUMAN
Q99798,ACON_HUMAN,ACO2,"Aconitate hydratase, mitochondrial",8.07E+06,8.69E+06,8.54E+06,1.01E+07,1.02E-05,2.78E-04,SKM-VL,PROT,HUMAN
Q86TX2,ACOT1_HUMAN,ACOT1,Acyl-coenzyme A thioesterase 1,4.17E+04,2.17E+04,1.87E+04,2.55E+04,9.72E-02,2.19E-01,SKM-VL,PROT,HUMAN
Q9Y305,ACOT9_HUMAN,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial",8.58E+05,7.79E+05,7.76E+05,8.56E+05,6.56E-01,7.65E-01,SKM-VL,PROT,HUMAN
P13798,ACPH_HUMAN,APEH,Acylamino-acid-releasing enzyme,7.57E+05,9.51E+05,9.40E+05,8.13E+05,3.15E-03,2.06E-02,SKM-VL,PROT,HUMAN
O14561,ACPM_HUMAN,NDUFAB1,"Acyl carrier protein, mitochondrial",8.55E+05,8.28E+05,8.54E+05,1.04E+06,2.48E-03,1.69E-02,SKM-VL,PROT,HUMAN
Q9NUB1,ACS2L_HUMAN,ACSS1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial",2.59E+04,2.12E+04,3.81E+04,3.15E+04,3.79E-01,5.46E-01,SKM-VL,PROT,HUMAN
Q9NR19,ACSA_HUMAN,ACSS2,"Acetyl-coenzyme A synthetase, cytoplasmic",2.69E+04,2.74E+04,2.30E+04,4.20E+04,1.40E-02,5.91E-02,SKM-VL,PROT,HUMAN
Q96CM8,ACSF2_HUMAN,ACSF2,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",1.11E+05,1.24E+05,1.18E+05,1.52E+05,4.53E-03,2.69E-02,SKM-VL,PROT,HUMAN
P33121,ACSL1_HUMAN,ACSL1,Long-chain-fatty-acid--CoA ligase 1,3.42E+06,3.78E+06,3.88E+06,4.40E+06,7.62E-05,1.26E-03,SKM-VL,PROT,HUMAN
O95573,ACSL3_HUMAN,ACSL3,Long-chain-fatty-acid--CoA ligase 3,6.11E+05,6.75E+05,6.44E+05,7.95E+05,2.09E-01,3.72E-01,SKM-VL,PROT,HUMAN
Q9H6R3,ACSS3_HUMAN,ACSS3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial",2.24E+04,1.88E+04,2.55E+04,2.51E+04,8.57E-01,9.07E-01,SKM-VL,PROT,HUMAN
P62736,ACTA_HUMAN,ACTA2,"Actin, aortic smooth muscle",2.38E+04,3.79E+04,1.62E+04,2.38E+04,7.51E-02,1.83E-01,SKM-VL,PROT,HUMAN
P60709,ACTB_HUMAN,ACTB,"Actin, cytoplasmic 1",2.11E+07,1.72E+07,1.95E+07,1.92E+07,6.94E-01,7.95E-01,SKM-VL,PROT,HUMAN
Q562R1,ACTBL_HUMAN,ACTBL2,Beta-actin-like protein 2,5.28E+06,6.43E+06,5.99E+06,6.68E+06,2.20E-02,8.02E-02,SKM-VL,PROT,HUMAN
Q9BYX7,ACTBM_HUMAN,POTEKP,Putative beta-actin-like protein 3,5.12E+06,5.09E+06,4.91E+06,4.34E+06,4.66E-01,6.15E-01,SKM-VL,PROT,HUMAN
P63267,ACTH_HUMAN,ACTG2,"Actin, gamma-enteric smooth muscle",2.00E+04,3.66E+04,2.79E+04,2.96E+04,2.45E-01,4.17E-01,SKM-VL,PROT,HUMAN
P12814,ACTN1_HUMAN,ACTN1,Alpha-actinin-1,7.87E+04,1.18E+05,8.69E+04,1.08E+05,1.30E-01,2.68E-01,SKM-VL,PROT,HUMAN
P35609,ACTN2_HUMAN,ACTN2,Alpha-actinin-2,4.44E+07,4.14E+07,4.53E+07,4.17E+07,4.13E-02,1.21E-01,SKM-VL,PROT,HUMAN
Q08043,ACTN3_HUMAN,ACTN3,Alpha-actinin-3,2.07E+07,1.91E+07,1.78E+07,1.54E+07,4.26E-01,5.83E-01,SKM-VL,PROT,HUMAN
O43707,ACTN4_HUMAN,ACTN4,Alpha-actinin-4,3.89E+05,3.80E+05,3.88E+05,4.65E+05,1.20E-01,2.53E-01,SKM-VL,PROT,HUMAN
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle",2.42E+07,2.15E+07,2.27E+07,1.93E+07,2.66E-02,8.97E-02,SKM-VL,PROT,HUMAN
P61163,ACTZ_HUMAN,ACTR1A,Alpha-centractin,3.85E+05,4.01E+05,4.48E+05,4.26E+05,9.44E-01,9.63E-01,SKM-VL,PROT,HUMAN
Q03154,ACY1_HUMAN,ACY1,Aminoacylase-1,3.86E+05,4.24E+05,4.45E+05,4.43E+05,7.23E-01,8.16E-01,SKM-VL,PROT,HUMAN
P45381,ACY2_HUMAN,ASPA,Aspartoacylase,1.09E+05,1.45E+05,1.51E+05,1.45E+05,3.43E-01,5.17E-01,SKM-VL,PROT,HUMAN
P07311,ACYP1_HUMAN,ACYP1,Acylphosphatase-1,8.89E+04,1.10E+05,1.05E+05,1.31E+05,1.84E-02,7.10E-02,SKM-VL,PROT,HUMAN
P14621,ACYP2_HUMAN,ACYP2,Acylphosphatase-2,1.66E+06,2.06E+06,1.94E+06,1.95E+06,5.24E-03,3.03E-02,SKM-VL,PROT,HUMAN
P35611,ADDA_HUMAN,ADD1,Alpha-adducin,1.08E+05,1.20E+05,8.89E+04,1.34E+05,4.05E-02,1.20E-01,SKM-VL,PROT,HUMAN
P35612,ADDB_HUMAN,ADD2,Beta-adducin,1.19E+04,2.16E+04,1.30E+04,1.78E+04,2.20E-01,3.87E-01,SKM-VL,PROT,HUMAN
P00325,ADH1B_HUMAN,ADH1B,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,6.77E+04,1.04E+05,8.87E+04,1.10E+05,1.21E-02,5.29E-02,SKM-VL,PROT,HUMAN
P11766,ADHX_HUMAN,ADH5,Alcohol dehydrogenase class-3,1.34E+05,1.76E+05,1.89E+05,1.85E+05,9.51E-04,8.41E-03,SKM-VL,PROT,HUMAN
Q15848,ADIPO_HUMAN,ADIPOQ,Adiponectin,4.72E+04,5.90E+04,5.33E+04,5.43E+04,9.32E-01,9.56E-01,SKM-VL,PROT,HUMAN
Q15847,ADIRF_HUMAN,ADIRF,Adipogenesis regulatory factor,2.25E+04,2.38E+04,2.19E+04,2.98E+04,4.30E-01,5.88E-01,SKM-VL,PROT,HUMAN
P55263,ADK_HUMAN,ADK,Adenosine kinase,4.03E+04,6.11E+04,4.84E+04,6.92E+04,5.72E-02,1.52E-01,SKM-VL,PROT,HUMAN
Q9NRN7,ADPPT_HUMAN,AASDHPPT,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,9.22E+03,1.26E+04,1.09E+04,1.18E+04,6.36E-01,7.53E-01,SKM-VL,PROT,HUMAN
Q16186,ADRM1_HUMAN,ADRM1,Proteasomal ubiquitin receptor ADRM1,2.82E+05,3.05E+05,2.89E+05,2.75E+05,9.47E-01,9.64E-01,SKM-VL,PROT,HUMAN
P12235,ADT1_HUMAN,SLC25A4,ADP/ATP translocase 1,8.47E+06,8.30E+06,9.19E+06,1.06E+07,1.08E-03,9.24E-03,SKM-VL,PROT,HUMAN
P05141,ADT2_HUMAN,SLC25A5,ADP/ATP translocase 2,2.94E+04,4.74E+04,2.76E+04,4.21E+04,1.47E-02,6.09E-02,SKM-VL,PROT,HUMAN
P12236,ADT3_HUMAN,SLC25A6,ADP/ATP translocase 3,1.37E+06,1.44E+06,1.62E+06,1.86E+06,4.07E-05,8.25E-04,SKM-VL,PROT,HUMAN
Q9Y4W6,AFG32_HUMAN,AFG3L2,AFG3-like protein 2,5.89E+05,8.16E+05,6.30E+05,7.48E+05,1.07E-02,4.84E-02,SKM-VL,PROT,HUMAN
Q53H12,AGK_HUMAN,AGK,"Acylglycerol kinase, mitochondrial",1.64E+04,1.02E+04,9.99E+03,1.11E+04,4.41E-01,5.96E-01,SKM-VL,PROT,HUMAN
O95394,AGM1_HUMAN,PGM3,Phosphoacetylglucosamine mutase,9.12E+03,9.32E+03,8.18E+03,8.74E+03,9.17E-01,9.48E-01,SKM-VL,PROT,HUMAN
Q9UKV8,AGO2_HUMAN,AGO2,Protein argonaute-2,2.25E+05,2.90E+05,2.69E+05,2.39E+05,3.85E-01,5.51E-01,SKM-VL,PROT,HUMAN
O00468,AGRIN_HUMAN,AGRN,Agrin,3.26E+05,9.25E+05,2.12E+05,2.32E+05,7.84E-02,1.88E-01,SKM-VL,PROT,HUMAN
Q09666,AHNK_HUMAN,AHNAK,Neuroblast differentiation-associated protein AHNAK,1.56E+06,1.54E+06,1.60E+06,1.71E+06,1.86E-01,3.40E-01,SKM-VL,PROT,HUMAN
O95831,AIFM1_HUMAN,AIFM1,"Apoptosis-inducing factor 1, mitochondrial",1.47E+06,1.69E+06,1.66E+06,1.85E+06,4.73E-05,9.28E-04,SKM-VL,PROT,HUMAN
Q13155,AIMP2_HUMAN,AIMP2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,2.77E+04,3.48E+04,2.92E+04,3.93E+04,1.72E-01,3.20E-01,SKM-VL,PROT,HUMAN
P14550,AK1A1_HUMAN,AKR1A1,Aldo-keto reductase family 1 member A1,7.90E+04,9.52E+04,9.57E+04,1.06E+05,6.67E-02,1.70E-01,SKM-VL,PROT,HUMAN
P52895,AK1C2_HUMAN,AKR1C2,Aldo-keto reductase family 1 member C2,9.98E+04,3.61E+05,2.60E+05,2.81E+05,2.34E-02,8.25E-02,SKM-VL,PROT,HUMAN
P42330,AK1C3_HUMAN,AKR1C3,Aldo-keto reductase family 1 member C3,1.46E+05,1.87E+05,2.29E+05,1.63E+05,4.13E-01,5.75E-01,SKM-VL,PROT,HUMAN
Q92667,AKAP1_HUMAN,AKAP1,"A-kinase anchor protein 1, mitochondrial",1.43E+05,1.64E+05,2.10E+05,2.03E+05,3.60E-01,5.30E-01,SKM-VL,PROT,HUMAN
P31751,AKT2_HUMAN,AKT2,RAC-beta serine/threonine-protein kinase,3.38E+04,2.96E+04,3.25E+04,3.98E+04,3.78E-01,5.45E-01,SKM-VL,PROT,HUMAN
Q96B36,AKTS1_HUMAN,AKT1S1,Proline-rich AKT1 substrate 1,1.88E+04,2.90E+04,1.92E+04,1.96E+04,5.41E-01,6.78E-01,SKM-VL,PROT,HUMAN
P00352,AL1A1_HUMAN,ALDH1A1,Retinal dehydrogenase 1,8.63E+05,1.11E+06,1.07E+06,1.02E+06,2.47E-02,8.59E-02,SKM-VL,PROT,HUMAN
P30837,AL1B1_HUMAN,ALDH1B1,"Aldehyde dehydrogenase X, mitochondrial",2.79E+05,2.84E+05,2.65E+05,3.83E+05,1.90E-05,4.09E-04,SKM-VL,PROT,HUMAN
O75891,AL1L1_HUMAN,ALDH1L1,Cytosolic 10-formyltetrahydrofolate dehydrogenase,9.06E+05,1.06E+06,1.07E+06,1.11E+06,8.57E-02,1.98E-01,SKM-VL,PROT,HUMAN
P51648,AL3A2_HUMAN,ALDH3A2,Aldehyde dehydrogenase family 3 member A2,3.66E+05,4.22E+05,3.88E+05,4.14E+05,4.85E-01,6.32E-01,SKM-VL,PROT,HUMAN
P30038,AL4A1_HUMAN,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",9.23E+05,1.08E+06,1.05E+06,1.14E+06,8.50E-02,1.98E-01,SKM-VL,PROT,HUMAN
P49419,AL7A1_HUMAN,ALDH7A1,Alpha-aminoadipic semialdehyde dehydrogenase,1.14E+05,1.27E+05,1.36E+05,1.51E+05,1.36E-01,2.76E-01,SKM-VL,PROT,HUMAN
P49189,AL9A1_HUMAN,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase,1.70E+06,1.75E+06,1.71E+06,1.76E+06,8.60E-01,9.09E-01,SKM-VL,PROT,HUMAN
P24298,ALAT1_HUMAN,GPT,Alanine aminotransferase 1,8.30E+05,9.39E+05,9.64E+05,1.17E+06,1.06E-05,2.82E-04,SKM-VL,PROT,HUMAN
P02768,ALBU_HUMAN,ALB,Serum albumin,2.77E+07,2.76E+07,2.88E+07,3.57E+07,7.24E-02,1.79E-01,SKM-VL,PROT,HUMAN
P05091,ALDH2_HUMAN,ALDH2,"Aldehyde dehydrogenase, mitochondrial",4.89E+05,6.16E+05,5.82E+05,7.25E+05,6.45E-08,7.46E-06,SKM-VL,PROT,HUMAN
P04075,ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A,1.93E+07,2.01E+07,1.94E+07,1.82E+07,2.16E-01,3.80E-01,SKM-VL,PROT,HUMAN
P15121,ALDR_HUMAN,AKR1B1,Aldo-keto reductase family 1 member B1,1.38E+06,1.91E+06,1.83E+06,1.85E+06,1.88E-08,3.26E-06,SKM-VL,PROT,HUMAN
Q96L96,ALPK3_HUMAN,ALPK3,Alpha-protein kinase 3,1.13E+06,6.71E+05,8.87E+05,1.02E+06,5.37E-02,1.44E-01,SKM-VL,PROT,HUMAN
P02760,AMBP_HUMAN,AMBP,Protein AMBP,2.06E+04,3.24E+04,4.55E+04,3.14E+04,3.51E-02,1.08E-01,SKM-VL,PROT,HUMAN
Q9H4A4,AMPB_HUMAN,RNPEP,Aminopeptidase B,4.81E+05,4.66E+05,4.85E+05,4.31E+05,6.11E-01,7.35E-01,SKM-VL,PROT,HUMAN
P23109,AMPD1_HUMAN,AMPD1,AMP deaminase 1,3.23E+06,4.27E+06,3.51E+06,3.72E+06,5.57E-02,1.48E-01,SKM-VL,PROT,HUMAN
P28838,AMPL_HUMAN,LAP3,Cytosol aminopeptidase,5.92E+05,6.70E+05,6.56E+05,7.07E+05,2.89E-02,9.44E-02,SKM-VL,PROT,HUMAN
P30533,AMRP_HUMAN,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,4.57E+04,5.15E+04,4.26E+04,4.94E+04,5.83E-01,7.12E-01,SKM-VL,PROT,HUMAN
P39687,AN32A_HUMAN,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A,2.64E+04,2.12E+04,3.23E+04,3.52E+04,2.91E-01,4.64E-01,SKM-VL,PROT,HUMAN
Q9BTT0,AN32E_HUMAN,ANP32E,Acidic leucine-rich nuclear phosphoprotein 32 family member E,1.78E+04,2.94E+04,2.48E+04,2.58E+04,1.48E-01,2.91E-01,SKM-VL,PROT,HUMAN
P16157,ANK1_HUMAN,ANK1,Ankyrin-1,9.37E+05,1.10E+06,1.02E+06,1.11E+06,2.50E-01,4.23E-01,SKM-VL,PROT,HUMAN
Q01484,ANK2_HUMAN,ANK2,Ankyrin-2,1.16E+04,1.56E+04,1.10E+04,1.13E+04,5.62E-01,6.95E-01,SKM-VL,PROT,HUMAN
Q12955,ANK3_HUMAN,ANK3,Ankyrin-3,8.10E+05,7.61E+05,6.46E+05,6.15E+05,9.70E-02,2.18E-01,SKM-VL,PROT,HUMAN
Q9GZV1,ANKR2_HUMAN,ANKRD2,Ankyrin repeat domain-containing protein 2,2.00E+06,2.24E+06,1.99E+06,2.13E+06,7.35E-01,8.23E-01,SKM-VL,PROT,HUMAN
Q99873,ANM1_HUMAN,PRMT1,Protein arginine N-methyltransferase 1,1.24E+05,1.79E+05,1.44E+05,1.54E+05,2.87E-01,4.59E-01,SKM-VL,PROT,HUMAN
O14744,ANM5_HUMAN,PRMT5,Protein arginine N-methyltransferase 5,6.45E+04,7.00E+04,6.53E+04,6.80E+04,9.82E-01,9.89E-01,SKM-VL,PROT,HUMAN
Q4KMQ2,ANO6_HUMAN,ANO6,Anoctamin-6,3.49E+04,5.94E+04,3.35E+04,3.16E+04,2.68E-01,4.41E-01,SKM-VL,PROT,HUMAN
P01008,ANT3_HUMAN,SERPINC1,Antithrombin-III,7.90E+04,1.04E+05,7.44E+04,9.78E+04,9.32E-02,2.11E-01,SKM-VL,PROT,HUMAN
P50995,ANX11_HUMAN,ANXA11,Annexin A11,6.84E+05,8.77E+05,7.81E+05,7.81E+05,1.53E-01,2.96E-01,SKM-VL,PROT,HUMAN
