Accession,Protein Name,Coverage [%],# Peptides,# PSMs,# Unique Peptides,Gene Symbol,RV Fold-change,RV Adj. P-Value,LV Fold-change,LV Adj. P-Value,Tissue,Ome,Species
P62909,40S ribosomal protein S3 ,56,11,30,11,Rps3,0.86,1.00,1.25,0.94,HEART,PROT,RAT
P49242,40S ribosomal protein S3a ,25,6,12,6,Rps3a,1.07,0.86,1.09,0.71,HEART,PROT,RAT
X1WI37,40S ribosomal protein S4 ,31,8,19,8,Rps4x,0.93,1.00,1.03,1.00,HEART,PROT,RAT
P62083,40S ribosomal protein S7 ,41,5,25,5,Rps7; LOC100362830,1.03,0.76,1.00,1.00,HEART,PROT,RAT
D3ZIE1,40S ribosomal protein S8 ,15,3,17,3,RGD1566369,0.89,1.00,0.97,1.00,HEART,PROT,RAT
P29314,40S ribosomal protein S9 ,23,5,11,5,Rps9; LOC100909466; LOC103689992,0.98,0.81,1.10,1.00,HEART,PROT,RAT
P38983,40S ribosomal protein SA ,44,10,45,10,Rpsa,1.11,0.09,1.04,0.41,HEART,PROT,RAT
Q9JLJ3,4-trimethylaminobutyraldehyde dehydrogenase ,28,12,68,12,Aldh9a1,1.04,1.00,1.09,0.38,HEART,PROT,RAT
Q66HL0,"5' nucleotidase, ecto ",10,5,10,5,Nt5e,1.52,0.92,0.95,0.94,HEART,PROT,RAT
Q09137,5'-AMP-activated protein kinase catalytic subunit alpha-2 ,8,4,10,4,Prkaa2,0.77,0.70,1.11,1.00,HEART,PROT,RAT
P80386,5'-AMP-activated protein kinase subunit beta-1 ,44,6,9,6,Prkab1,0.73,0.55,0.91,1.00,HEART,PROT,RAT
P80385,5'-AMP-activated protein kinase subunit gamma-1 ,12,3,14,3,Prkag1,0.84,1.00,1.03,1.00,HEART,PROT,RAT
G3V879,"5-demethoxyubiquinone hydroxylase, mitochondrial ",63,10,45,10,Coq7 COQ7,0.67,<0.01,0.70,0.01,HEART,PROT,RAT
D3ZMY7,"5'-nucleotidase, cytosolic II ",10,4,17,4,Nt5c2,2.07,<0.01,1.50,0.05,HEART,PROT,RAT
P63039,"60 kDa heat shock protein, mitochondrial ",64,28,1020,28,Hspd1,0.94,0.35,0.91,0.03,HEART,PROT,RAT
P19945,60S acidic ribosomal protein P0 ,27,8,46,8,Rplp0,1.08,0.71,1.15,0.62,HEART,PROT,RAT
P02401,60S acidic ribosomal protein P2 ,67,4,36,4,Rplp2; LOC100911575,0.96,1.00,1.11,1.00,HEART,PROT,RAT
Q4V8I6,60S ribosomal protein L11 ,18,3,15,3,Rpl11,0.90,1.00,0.96,0.87,HEART,PROT,RAT
P24049,60S ribosomal protein L17 ,21,3,8,3,Rpl17,0.85,0.70,1.23,0.49,HEART,PROT,RAT
P62718,60S ribosomal protein L18a ,9,2,3,2,Rpl18a,1.09,0.66,0.86,0.25,HEART,PROT,RAT
Q6PDV8,60S ribosomal protein L22 ,19,2,7,2,LOC100363800; LOC100360057; Rpl22,1.13,1.00,1.05,1.00,HEART,PROT,RAT
Q6P3V9,60S ribosomal protein L4 ,11,3,7,3,Rpl4,1.04,1.00,0.85,1.00,HEART,PROT,RAT
Q6P790,60S ribosomal protein L6 (Fragment) ,23,6,16,6,Rpl6,0.99,1.00,1.09,0.82,HEART,PROT,RAT
P05426,60S ribosomal protein L7 ,20,5,14,5,Rpl7,0.81,0.01,1.04,0.78,HEART,PROT,RAT
P62919,60S ribosomal protein L8 ,13,3,12,3,Rpl8; LOC100910370; LOC100360117; LOC108348142,1.17,0.81,1.07,0.69,HEART,PROT,RAT
Q7TP11,"6-phosphogluconate dehydrogenase, decarboxylating ",14,12,36,12,,1.77,<0.01,1.41,0.01,HEART,PROT,RAT
G3V8D5,6-phosphogluconolactonase ,33,6,27,6,Pgls,1.20,0.42,1.10,0.88,HEART,PROT,RAT
D4A9M6,"A kinase (PRKA) anchor protein 1, isoform CRA_b ",9,6,12,6,Akap1,0.98,1.00,0.93,0.50,HEART,PROT,RAT
Q7TMB9,Ab1-021 ,34,15,97,10,LOC299282,0.96,1.00,1.08,0.55,HEART,PROT,RAT
D3ZXK4,Abhydrolase domain-containing 11 ,38,7,20,7,Abhd11,0.96,1.00,0.94,1.00,HEART,PROT,RAT
Q7TQ90,Ac1002 ,9,6,17,6,Adh4 Adh5,0.89,1.00,1.07,0.62,HEART,PROT,RAT
Q7TQ70,Ac1873 ,19,13,42,13,Fga,1.11,0.30,0.76,<0.01,HEART,PROT,RAT
P17764,"Acetyl-CoA acetyltransferase, mitochondrial ",47,16,218,16,Acat1,0.84,0.04,0.93,0.25,HEART,PROT,RAT
D3ZZN3,Acetyl-coenzyme A synthetase ,36,19,108,19,Acss1,0.76,<0.01,0.93,0.11,HEART,PROT,RAT
D4AA35,Acetylserotonin O-methyltransferase-like ,13,2,2,2,Asmtl,0.72,0.82,0.81,1.00,HEART,PROT,RAT
A0A0G2K8T0,Acid ceramidase ,36,11,43,11,Asah1,1.16,0.02,1.11,0.15,HEART,PROT,RAT
Q4FZU0,"Acid phosphatase 6, lysophosphatidic ",17,5,15,5,Acp6,0.89,0.36,1.03,1.00,HEART,PROT,RAT
F7EL36,Acidic leucine-rich nuclear phosphoprotein 32 family member A ,10,4,8,2,Anp32a,1.05,1.00,1.24,0.35,HEART,PROT,RAT
Q5XIE0,Acidic leucine-rich nuclear phosphoprotein 32 family member E ,19,3,8,3,Anp32e,0.92,0.78,1.16,0.58,HEART,PROT,RAT
Q9ER34,"Aconitate hydratase, mitochondrial ",48,36,710,36,Aco2,0.91,0.89,0.89,0.24,HEART,PROT,RAT
P68136,"Actin, alpha skeletal muscle ",65,24,1405,2,Acta1,1.06,0.06,0.97,0.78,HEART,PROT,RAT
A0A0G2K4M6,"Actin, aortic smooth muscle ",65,24,1697,3,Acta2,0.96,1.00,0.89,0.97,HEART,PROT,RAT
A0A0G2K3K2,"Actin, cytoplasmic 1 ",53,20,1013,6,Actb,1.33,<0.01,1.40,0.01,HEART,PROT,RAT
Q3KR72,Actin-binding LIM protein 1 ,49,17,82,12,Ablim1,1.03,1.00,0.96,0.52,HEART,PROT,RAT
D3ZCV0,Actinin alpha 2 ,66,54,1082,38,Actn2,1.11,0.02,1.09,0.07,HEART,PROT,RAT
Q5M7U6,Actin-related protein 2 ,13,5,19,4,Actr2,1.28,0.36,1.39,0.21,HEART,PROT,RAT
Q99PD4,Actin-related protein 2/3 complex subunit 1A ,6,2,4,2,Arpc1a,0.91,1.00,1.33,0.66,HEART,PROT,RAT
P85970,Actin-related protein 2/3 complex subunit 2 ,27,6,13,6,Arpc2,1.01,1.00,1.09,0.71,HEART,PROT,RAT
B2RZ72,Actin-related protein 2/3 complex subunit 4 ,23,4,6,4,Arpc4,1.39,0.24,1.19,0.44,HEART,PROT,RAT
A1L108,Actin-related protein 2/3 complex subunit 5-like protein ,36,4,16,4,Arpc5l; Arpc5l-ps1,1.12,1.00,1.10,0.83,HEART,PROT,RAT
A0A0G2K1C0,Actin-related protein 3 ,26,8,40,8,Actr3,1.27,0.07,1.46,0.02,HEART,PROT,RAT
B0BN63,Activator of Hsp90 ATPase activity 1 ,22,6,14,6,Ahsa1; LOC681996,0.93,0.03,1.03,0.30,HEART,PROT,RAT
D3ZF13,Acyl carrier protein ,10,2,16,2,Ndufab1,0.89,0.89,0.88,1.00,HEART,PROT,RAT
G3V9E4,Acylamino-acid-releasing enzyme ,20,7,11,7,Apeh,1.19,0.09,1.28,0.02,HEART,PROT,RAT
M0RDK9,"Acyl-CoA dehydrogenase family, member 8 ",10,4,15,4,Acad8,1.07,1.00,1.03,1.00,HEART,PROT,RAT
D3ZUX7,Acyl-CoA synthetase family member 3 ,28,11,30,11,Acsf3,0.59,<0.01,0.78,0.08,HEART,PROT,RAT
F1LX28,Acyl-CoA thioesterase 11 ,9,4,5,4,Acot11,0.53,0.18,0.95,1.00,HEART,PROT,RAT
D3ZA93,Acyl-CoA thioesterase 13 ,16,2,21,2,Acot13,0.53,<0.01,0.58,<0.01,HEART,PROT,RAT
Q6IMX8,Acyl-CoA thioesterase 2 ,49,16,143,16,Acot2,0.57,<0.01,0.68,<0.01,HEART,PROT,RAT
Q5U2X8,Acyl-CoA thioesterase 9 ,26,10,31,10,Acot9,1.00,1.00,1.10,0.26,HEART,PROT,RAT
Q6TXF3,Acyl-CoA-binding protein ,6,2,19,2,Dbi,1.00,1.00,1.23,1.00,HEART,PROT,RAT
Q5M9H2,"Acyl-Coenzyme A dehydrogenase, very long chain ",59,29,331,29,Acadvl,0.56,<0.01,0.60,<0.01,HEART,PROT,RAT
D3Z9L0,Acylglycerol kinase ,13,5,14,5,Agk,1.01,1.00,1.02,1.00,HEART,PROT,RAT
D4A6X4,Acylphosphatase ,55,5,23,5,Acyp1,1.15,0.88,1.17,0.98,HEART,PROT,RAT
P35745,Acylphosphatase-2 ,22,2,13,2,Acyp2,0.84,0.37,1.03,1.00,HEART,PROT,RAT
P70470,Acyl-protein thioesterase 1 ,35,5,36,5,Lypla1,0.94,1.00,0.85,1.00,HEART,PROT,RAT
Q9QYL8,Acyl-protein thioesterase 2 ,18,3,10,3,Lypla2,0.97,0.80,1.01,1.00,HEART,PROT,RAT
Q6AYQ8,"Acylpyruvase FAHD1, mitochondrial ",28,5,23,5,Fahd1,0.65,<0.01,0.71,0.01,HEART,PROT,RAT
Q63768,Adapter molecule crk ,23,5,15,5,Crk,1.08,0.89,1.01,1.00,HEART,PROT,RAT
P36972,Adenine phosphoribosyltransferase ,31,6,26,6,Aprt,0.72,0.04,0.89,0.66,HEART,PROT,RAT
Q920P6,Adenosine deaminase ,13,3,5,3,Ada,1.14,1.00,1.02,1.00,HEART,PROT,RAT
A0A0G2JSL8,Adenosine kinase ,49,13,33,13,Adk,0.73,0.36,1.02,1.00,HEART,PROT,RAT
P10760,Adenosylhomocysteinase ,35,13,35,13,Ahcy,1.18,0.88,1.30,0.05,HEART,PROT,RAT
A0A0G2JSG6,"Adenylate kinase 2, mitochondrial ",47,9,84,9,Ak2,0.95,1.00,0.91,1.00,HEART,PROT,RAT
Q9WUS0,"Adenylate kinase 4, mitochondrial ",66,11,47,11,Ak4,0.66,0.03,0.87,0.98,HEART,PROT,RAT
P39069,Adenylate kinase isoenzyme 1 ,56,11,272,11,Ak1,0.90,0.65,0.91,0.68,HEART,PROT,RAT
D3ZW08,Adenylosuccinate lyase ,32,9,29,9,Adsl,0.70,0.19,0.96,1.00,HEART,PROT,RAT
M0R629,Adenylosuccinate synthetase isozyme 1 ,47,15,76,15,Adssl1,0.37,<0.01,0.57,<0.01,HEART,PROT,RAT
Q08163,Adenylyl cyclase-associated protein 1 ,19,5,28,5,Cap1,1.31,0.08,1.42,0.02,HEART,PROT,RAT
P52481,Adenylyl cyclase-associated protein 2 ,33,12,36,12,Cap2,1.47,<0.01,1.42,<0.01,HEART,PROT,RAT
Q9R290,Adipocyte lipid-binding protein ,38,6,65,6,Fabp4,0.70,<0.01,0.89,0.22,HEART,PROT,RAT
D3ZZQ4,"Adipogenesis-associated, Mth938 domain-containing ",27,3,9,3,Aamdc,0.64,0.20,0.79,1.00,HEART,PROT,RAT
A0A0G2K845,"Adiponectin, C1Q and collagen domain-containing ",17,3,14,3,Adipoq,1.34,0.01,1.25,0.08,HEART,PROT,RAT
Q6P9Y4,ADP/ATP translocase 1 ,41,14,340,5,Slc25a4,0.77,0.04,0.88,0.55,HEART,PROT,RAT
Q09073,ADP/ATP translocase 2 ,38,13,174,4,Slc25a5,1.44,<0.01,1.41,<0.01,HEART,PROT,RAT
Q8K4G6,ADP-ribose glycohydrolase MACROD1 (Fragment) ,26,6,26,6,Macrod1,0.45,<0.01,0.55,<0.01,HEART,PROT,RAT
P61206,ADP-ribosylation factor 3 ,54,7,56,3,Arf3,1.19,<0.01,1.24,<0.01,HEART,PROT,RAT
P61751,ADP-ribosylation factor 4 ,47,6,34,3,Arf4,1.70,0.26,1.29,0.82,HEART,PROT,RAT
P37996,ADP-ribosylation factor-like protein 3 ,32,4,9,4,Arl3,1.17,1.00,1.17,1.00,HEART,PROT,RAT
Q66HA6,ADP-ribosylation factor-like protein 8B ,34,6,26,6,Arl8b,1.09,0.85,1.03,1.00,HEART,PROT,RAT
P36953,Afamin ,18,9,28,9,Afm,0.83,<0.01,1.12,0.02,HEART,PROT,RAT
F1LN92,AFG3-like matrix AAA peptidase subunit 2 ,30,22,63,21,Afg3l2,0.91,0.55,1.04,1.00,HEART,PROT,RAT
Q8CG45,Aflatoxin B1 aldehyde reductase member 2 ,23,7,32,7,Akr7a2,0.80,0.07,0.89,0.42,HEART,PROT,RAT
Q38PG1,AHNAK 1 (Fragment) ,24,12,45,2,Ahnak,1.14,0.95,1.49,0.21,HEART,PROT,RAT
A0A0G2JUA5,AHNAK nucleoprotein ,58,127,443,117,Ahnak,1.31,0.01,1.28,0.02,HEART,PROT,RAT
F1LPQ9,A-kinase anchor protein 2 ,6,5,6,5,Akap2,0.98,1.00,1.40,0.34,HEART,PROT,RAT
Q5XI97,Alanyl-tRNA editing protein Aarsd1 ,22,7,11,7,Aarsd1,0.75,0.21,0.95,1.00,HEART,PROT,RAT
G3V7J0,"Aldehyde dehydrogenase family 6, subfamily A1, isoform CRA_b ",49,23,279,23,Aldh6a1,0.80,<0.01,0.87,0.01,HEART,PROT,RAT
P51635,Aldo-keto reductase family 1 member A1 ,44,11,36,11,Akr1a1,1.41,<0.01,1.29,0.01,HEART,PROT,RAT
P07943,Aldo-keto reductase family 1 member B1 ,45,13,120,12,Akr1b1,1.00,1.00,0.95,0.08,HEART,PROT,RAT
D3ZF77,Aldo-keto reductase family 1 member C15 ,50,15,53,15,Akr1cl,1.14,0.19,1.25,0.07,HEART,PROT,RAT
F7EMK8,Aldose reductase-related protein 1-like ,24,4,9,3,LOC100910708,1.02,1.00,1.19,1.00,HEART,PROT,RAT
A0A0G2K0X8,Alkaline phosphatase ,5,2,5,2,Alpl,1.92,0.15,1.59,0.34,HEART,PROT,RAT
Q63910,Alpha globin ,57,5,24,5,LOC287167; Hba-a1,1.37,<0.01,1.54,<0.01,HEART,PROT,RAT
D3ZAN3,Alpha glucosidase 2 alpha neutral subunit (Predicted) ,14,8,14,8,Ganab,1.22,0.88,1.34,0.62,HEART,PROT,RAT
G3V8V3,"Alpha-1,4 glucan phosphorylase ",51,41,449,31,Pygm,0.86,<0.01,0.92,0.01,HEART,PROT,RAT
P02764,Alpha-1-acid glycoprotein ,16,4,12,4,Orm1,0.97,1.00,1.19,0.37,HEART,PROT,RAT
A0A0G2JZ73,Alpha-1-antiproteinase ,46,15,115,15,Serpina1,1.37,<0.01,1.54,<0.01,HEART,PROT,RAT
P14046,Alpha-1-inhibitor 3 ,27,34,190,9,A1i3; LOC297568,0.77,<0.01,0.79,<0.01,HEART,PROT,RAT
Q63041,Alpha-1-macroglobulin ,32,37,159,37,Pzp,1.22,<0.01,1.11,0.05,HEART,PROT,RAT
Q6T487,Alpha-actinin-1 ,44,35,338,15,Actn1,1.10,0.67,1.26,0.08,HEART,PROT,RAT
A0A0G2K013,Alpha-actinin-4 ,51,37,345,23,Actn4,1.40,<0.01,1.60,<0.01,HEART,PROT,RAT
Q64057,Alpha-aminoadipic semialdehyde dehydrogenase ,35,15,82,15,Aldh7a1,1.11,0.01,1.13,<0.01,HEART,PROT,RAT
P85515,Alpha-centractin ,32,9,40,4,Actr1a,1.23,0.56,1.25,0.41,HEART,PROT,RAT
P23928,Alpha-crystallin B chain ,75,9,217,9,Cryab,1.70,<0.01,1.35,<0.01,HEART,PROT,RAT
Q5M9I2,Alpha-mannosidase 2C1 ,5,4,8,4,Man2c1,0.79,0.37,0.96,1.00,HEART,PROT,RAT
Q66H12,Alpha-N-acetylgalactosaminidase ,11,4,17,4,Naga,1.19,1.00,1.18,0.82,HEART,PROT,RAT
P54921,Alpha-soluble NSF attachment protein ,19,4,11,4,Napa,1.10,1.00,1.21,1.00,HEART,PROT,RAT
Q7TP38,Amine oxidase ,6,9,19,9,,0.82,1.00,1.01,1.00,HEART,PROT,RAT
B2GV33,Amine oxidase ,41,19,253,19,Maoa,5.50,<0.01,3.38,<0.01,HEART,PROT,RAT
Q4G079,Aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 ,26,5,16,5,Aimp1,1.06,1.00,1.07,1.00,HEART,PROT,RAT
Q6AYS7,Aminoacylase-1A ,42,13,29,13,Acy1,0.67,0.01,0.77,0.15,HEART,PROT,RAT
F1M9V7,Aminopeptidase ,33,24,75,24,Npepps,1.43,<0.01,1.37,0.01,HEART,PROT,RAT
O09175,Aminopeptidase B ,15,8,12,8,Rnpep,0.95,1.00,1.13,1.00,HEART,PROT,RAT
D4AEH9,"Amylo-1, 6-glucosidase, 4-alpha-glucanotransferase (Glycogen debranching enzyme, glycogen storage disease type III) (Predicted), isoform CRA_a ",35,42,174,42,Agl,0.87,0.08,0.99,1.00,HEART,PROT,RAT
Q5XID1,Anamorsin ,27,4,11,4,Ciapin1,1.00,1.00,1.03,1.00,HEART,PROT,RAT
P01015,Angiotensinogen ,18,7,16,7,Agt,1.13,1.00,0.97,1.00,HEART,PROT,RAT
F8WFT7,Anion exchange protein ,19,14,32,14,Slc4a1,1.66,<0.01,3.69,<0.01,HEART,PROT,RAT
D3Z9Z0,Ankyrin 1 ,5,7,10,4,Ank1,1.00,1.00,1.22,0.66,HEART,PROT,RAT
Q8R560,Ankyrin repeat domain-containing protein 1 ,32,9,22,9,Ankrd1,1.40,0.01,1.44,0.02,HEART,PROT,RAT
A0A0G2K1Q7,Ankyrin-3 ,7,10,22,7,Ank3,0.76,0.64,0.89,1.00,HEART,PROT,RAT
Q6IMZ3,Annexin ,55,36,193,36,Anxa6,1.21,<0.01,1.21,<0.01,HEART,PROT,RAT
Q5XI77,Annexin ,28,13,49,12,Anxa11,0.77,0.10,0.80,0.35,HEART,PROT,RAT
P07150,Annexin A1 ,45,12,52,12,Anxa1,1.93,<0.01,1.74,<0.01,HEART,PROT,RAT
Q07936,Annexin A2 ,55,17,99,17,Anxa2,1.88,<0.01,1.82,<0.01,HEART,PROT,RAT
P14669,Annexin A3 ,52,15,53,14,Anxa3,0.95,1.00,1.15,0.05,HEART,PROT,RAT
P55260,Annexin A4 ,34,10,28,10,Anxa4,1.25,0.01,1.21,0.02,HEART,PROT,RAT
P14668,Annexin A5 ,69,19,215,19,Anxa5,2.53,<0.01,2.10,<0.01,HEART,PROT,RAT
Q3ZB97,AP complex subunit beta ,27,19,39,10,Ap2b1; LOC100912146,1.32,0.02,1.32,0.02,HEART,PROT,RAT
D3ZUY8,AP-2 complex subunit alpha ,11,7,12,6,Ap2a1,1.27,0.49,1.34,0.35,HEART,PROT,RAT
Q66HM2,AP-2 complex subunit alpha ,16,9,17,8,Ap2a2,1.13,1.00,1.17,0.97,HEART,PROT,RAT
P84092,AP-2 complex subunit mu ,9,3,5,3,Ap2m1,1.15,0.72,1.38,0.19,HEART,PROT,RAT
P04639,Apolipoprotein A-I ,53,11,44,11,Apoa1,1.06,0.19,0.97,0.92,HEART,PROT,RAT
A0A0G2JVX7,Apolipoprotein A-IV ,23,9,19,9,Apoa4,0.98,1.00,1.32,0.16,HEART,PROT,RAT
B4F789,"Apolipoprotein B editing complex 2 (Predicted), isoform CRA_a ",54,7,50,7,Apobec2,1.43,0.32,1.23,0.30,HEART,PROT,RAT
Q6PAH0,Apolipoprotein E ,36,11,36,11,Apoe,1.45,0.54,1.39,0.27,HEART,PROT,RAT
Q9JM53,"Apoptosis-inducing factor 1, mitochondrial ",42,21,143,21,Aifm1,0.98,1.00,1.04,0.59,HEART,PROT,RAT
P29975,Aquaporin-1 ,14,3,9,3,Aqp1,0.66,0.02,0.84,0.28,HEART,PROT,RAT
P40329,"Arginine--tRNA ligase, cytoplasmic ",14,7,12,7,Rars,1.30,0.86,1.55,0.41,HEART,PROT,RAT
B0BN83,Armadillo repeat-containing protein 1 ,20,4,6,4,Armc1,0.95,1.00,1.41,0.33,HEART,PROT,RAT
Q4G022,Arsenical pump-driving ATPase (Fragment) ,20,6,15,6,Asna1,1.26,0.85,1.36,0.67,HEART,PROT,RAT
P13221,"Aspartate aminotransferase, cytoplasmic ",62,22,252,22,Got1,0.69,<0.01,0.69,<0.01,HEART,PROT,RAT
P00507,"Aspartate aminotransferase, mitochondrial ",44,20,339,20,Got2,0.75,<0.01,0.80,0.01,HEART,PROT,RAT
Q4V8H5,Aspartyl aminopeptidase ,43,16,48,16,Dnpep,1.92,<0.01,1.56,<0.01,HEART,PROT,RAT
Q5XIH1,Asporin ,32,10,23,10,Aspn; NEWGENE_1549776; Aspnl1,0.87,0.39,1.28,0.08,HEART,PROT,RAT
Q5U318,Astrocytic phosphoprotein PEA-15 ,55,5,14,5,Pea15; Pea15a,1.77,0.03,1.64,0.12,HEART,PROT,RAT
P19511,"ATP synthase F(0) complex subunit B1, mitochondrial ",50,14,209,14,Atp5f1; LOC100911417,0.85,0.01,0.87,0.03,HEART,PROT,RAT
Q9JJW3,"ATP synthase membrane subunit DAPIT, mitochondrial ",45,2,31,2,Usmg5; LOC100360002; LOC103693430,0.93,1.00,0.84,0.21,HEART,PROT,RAT
Q5UAJ5,ATP synthase protein 8 ,46,3,25,3,ATP8 atp8,0.90,0.81,0.79,0.59,HEART,PROT,RAT
Q549I0,ATP synthase subunit a ,8,2,8,2,atp6 ATP6,0.83,0.87,0.89,0.94,HEART,PROT,RAT
P15999,"ATP synthase subunit alpha, mitochondrial ",61,34,1150,34,Atp5a1,0.91,0.85,0.83,0.18,HEART,PROT,RAT
P10719,"ATP synthase subunit beta, mitochondrial ",74,29,2672,11,Atp5b,0.86,0.18,0.87,0.16,HEART,PROT,RAT
P31399,"ATP synthase subunit d, mitochondrial ",68,10,205,10,Atp5h,0.92,0.13,0.78,<0.01,HEART,PROT,RAT
