Accession,Gene Name,FC (MI 8W/Sham),Number of peptides,p-value,Description,Tissue,Ome,Species
O55234,Psmb5,1.241,5,0.01176,Proteasome subunit beta type-5 OS=Mus musculus GN=Psmb5 PE=1 SV=3,HEART,PROT,HUMAN
Q9CY16,Mrps28,1.239,3,0.03031,"28S ribosomal protein S28, mitochondrial OS=Mus musculus GN=Mrps28 PE=1 SV=1",HEART,PROT,HUMAN
A0A0R4J094,Fahd2a,1.236,3,0.01083,Fumarylacetoacetate hydrolase domain-containing 2A OS=Mus musculus GN=Fahd2a PE=1 SV=1,HEART,PROT,HUMAN
E9Q5L3,Acadsb,1.236,3,0.1136,"Short/branched chain-specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadsb PE=1 SV=1",HEART,PROT,HUMAN
Q3UHB1,Nt5dc3 Gnn,1.23,3,0.1389,5'-nucleotidase domain-containing protein 3 OS=Mus musculus GN=Nt5dc3 PE=1 SV=1,HEART,PROT,HUMAN
Q9D0L4,Adck1,1.23,3,0.1723,Uncharacterized aarF domain-containing protein kinase 1 OS=Mus musculus GN=Adck1 PE=1 SV=1,HEART,PROT,HUMAN
B1AXP6,Tomm5 Tom5,1.224,4,0.07004,Mitochondrial import receptor subunit TOM5 homolog OS=Mus musculus GN=Tomm5 PE=3 SV=1,HEART,PROT,HUMAN
D3Z7X0,Acad12 mCG_142036,1.223,18,0.002493,"Acyl-Coenzyme A dehydrogenase family, member 12 OS=Mus musculus GN=Acad12 PE=1 SV=1",HEART,PROT,HUMAN
P20108,Prdx3 Aop1 Mer5,1.222,10,0.04953,"Thioredoxin-dependent peroxide reductase, mitochondrial OS=Mus musculus GN=Prdx3 PE=1 SV=1",HEART,PROT,HUMAN
Q9D7J9,Echdc3,1.222,4,0.1774,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial OS=Mus musculus GN=Echdc3 PE=1 SV=1",HEART,PROT,HUMAN
Q60994,Adipoq Acdc Acrp30 Apm1,1.217,3,0.1078,Adiponectin OS=Mus musculus GN=Adipoq PE=1 SV=2,HEART,PROT,HUMAN
A0A1W2P7J1,Coq10a,1.216,7,0.08772,Coenzyme Q10A OS=Mus musculus GN=Coq10a PE=1 SV=1,HEART,PROT,HUMAN
O70548,Tcap,1.215,8,0.00231,Telethonin OS=Mus musculus GN=Tcap PE=1 SV=1,HEART,PROT,HUMAN
A0A0R4J023,Auh,1.215,6,0.03804,"Methylglutaconyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Auh PE=1 SV=1",HEART,PROT,HUMAN
O88587,Comt Comt1,1.215,6,0.1092,Catechol O-methyltransferase OS=Mus musculus GN=Comt PE=1 SV=2,HEART,PROT,HUMAN
Q9ESM6,Gdpd2 Gde3 Obdpf,1.215,3,0.1384,Glycerophosphoinositol inositolphosphodiesterase GDPD2 OS=Mus musculus GN=Gdpd2 PE=1 SV=1,HEART,PROT,HUMAN
Q9D880,Timm50 Tim50,1.209,7,0.102,Mitochondrial import inner membrane translocase subunit TIM50 OS=Mus musculus GN=Timm50 PE=1 SV=1,HEART,PROT,HUMAN
Q9JK92,Hspb8 Cryac Hsp22,1.205,10,0.1178,Heat shock protein beta-8 OS=Mus musculus GN=Hspb8 PE=1 SV=1,HEART,PROT,HUMAN
Q8CHT0,Aldh4a1,1.201,19,2.31E-05,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh4a1 PE=1 SV=3",HEART,PROT,HUMAN
I3ITR1,AK157302 mCG_50313,1.2,3,0.0178,MCG50313 OS=Mus musculus GN=AK157302 PE=4 SV=1,HEART,PROT,HUMAN
A0A0R4J1C5,Atpaf2,1.199,3,0.1868,ATP synthase mitochondrial F1 complex assembly factor 2 OS=Mus musculus GN=Atpaf2 PE=1 SV=1,HEART,PROT,HUMAN
P05366,Saa1,1.198,6,0.1094,Serum amyloid A-1 protein OS=Mus musculus GN=Saa1 PE=1 SV=2,HEART,PROT,HUMAN
Q9QUK9,Try5 1810049H19Rik trypsinogen mCG_15083,1.193,8,0.002134,MCG15083 OS=Mus musculus GN=Try5 PE=1 SV=1,HEART,PROT,HUMAN
Q9D020,Nt5c3a Nt5c3,1.193,14,0.004861,Cytosolic 5'-nucleotidase 3A OS=Mus musculus GN=Nt5c3a PE=1 SV=4,HEART,PROT,HUMAN
A0A1B0GX27,Bcat2,1.186,3,0.1477,Branched-chain-amino-acid aminotransferase OS=Mus musculus GN=Bcat2 PE=1 SV=1,HEART,PROT,HUMAN
Q07417,Acads,1.182,19,3.83E-05,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acads PE=1 SV=2",HEART,PROT,HUMAN
Q61941,Nnt,1.181,83,8.59E-12,"NAD(P) transhydrogenase, mitochondrial OS=Mus musculus GN=Nnt PE=1 SV=2",HEART,PROT,HUMAN
Q9CQ91,Ndufa3,1.18,9,0.05729,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 OS=Mus musculus GN=Ndufa3 PE=1 SV=1,HEART,PROT,HUMAN
Q9DCZ4,Apoo Fam121b Mic23 Mic26,1.179,7,0.01254,MICOS complex subunit Mic26 OS=Mus musculus GN=Apoo PE=1 SV=2,HEART,PROT,HUMAN
P62141,Ppp1cb,1.179,6,0.0545,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus GN=Ppp1cb PE=1 SV=3,HEART,PROT,HUMAN
Q9Z0F7,Sncg Persyn,1.176,3,0.4238,Gamma-synuclein OS=Mus musculus GN=Sncg PE=1 SV=1,HEART,PROT,HUMAN
Q9CRB8,Mtfp1 Mtp18,1.172,9,0.001165,Mitochondrial fission process protein 1 OS=Mus musculus GN=Mtfp1 PE=1 SV=1,HEART,PROT,HUMAN
Q9CQZ5,Ndufa6,1.172,14,0.005003,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Mus musculus GN=Ndufa6 PE=1 SV=1,HEART,PROT,HUMAN
P47738,Aldh2 Ahd-1 Ahd1,1.171,24,5.99E-05,"Aldehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh2 PE=1 SV=1",HEART,PROT,HUMAN
J9JIB2,Obscn,1.171,19,0.0007262,Obscurin (Fragment) OS=Mus musculus GN=Obscn PE=1 SV=1,HEART,PROT,HUMAN
Q9CR62,Slc25a11,1.168,7,0.0004252,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Mus musculus GN=Slc25a11 PE=1 SV=3,HEART,PROT,HUMAN
Q8R2K3,Ssbp1 mCG_15097,1.165,5,0.1006,Single-stranded DNA binding protein 1 OS=Mus musculus GN=Ssbp1 PE=1 SV=1,HEART,PROT,HUMAN
J3QMN4,Txnrd2,1.161,8,0.04533,"Thioredoxin reductase 2, mitochondrial OS=Mus musculus GN=Txnrd2 PE=1 SV=1",HEART,PROT,HUMAN
Q8BW75,Maob,1.161,4,0.1109,Amine oxidase [flavin-containing] B OS=Mus musculus GN=Maob PE=1 SV=4,HEART,PROT,HUMAN
Q8BLF1,Nceh1 Aadacl1 Kiaa1363,1.16,10,0.002938,Neutral cholesterol ester hydrolase 1 OS=Mus musculus GN=Nceh1 PE=1 SV=1,HEART,PROT,HUMAN
Q91ZA3,Pcca,1.159,30,0.0002125,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Mus musculus GN=Pcca PE=1 SV=2",HEART,PROT,HUMAN
Q3V132,Slc25a31 Aac4 Ant4 Sfec,1.159,10,0.009603,ADP/ATP translocase 4 OS=Mus musculus GN=Slc25a31 PE=1 SV=1,HEART,PROT,HUMAN
B0QZN5,Vamp2,1.159,3,0.3862,Vesicle-associated membrane protein 2 OS=Mus musculus GN=Vamp2 PE=1 SV=1,HEART,PROT,HUMAN
F6U775,Opa1,1.158,11,0.0733,"Dynamin-like 120 kDa protein, mitochondrial (Fragment) OS=Mus musculus GN=Opa1 PE=1 SV=1",HEART,PROT,HUMAN
P63030,Mpc1 Brp44l,1.158,3,0.08482,Mitochondrial pyruvate carrier 1 OS=Mus musculus GN=Mpc1 PE=1 SV=1,HEART,PROT,HUMAN
Q9R0H0,Acox1 Acox Paox,1.155,8,0.06038,Peroxisomal acyl-coenzyme A oxidase 1 OS=Mus musculus GN=Acox1 PE=1 SV=5,HEART,PROT,HUMAN
P24472,Gsta4 Gsta,1.154,9,0.00773,Glutathione S-transferase A4 OS=Mus musculus GN=Gsta4 PE=1 SV=3,HEART,PROT,HUMAN
E9PWG4,Myl1,1.152,10,0.1982,"Myosin light chain 1/3, skeletal muscle isoform OS=Mus musculus GN=Myl1 PE=1 SV=1",HEART,PROT,HUMAN
Q9JHI5,Ivd,1.151,30,2.45E-05,"Isovaleryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Ivd PE=1 SV=1",HEART,PROT,HUMAN
Q9Z2I0,Letm1,1.151,26,0.001365,Mitochondrial proton/calcium exchanger protein OS=Mus musculus GN=Letm1 PE=1 SV=1,HEART,PROT,HUMAN
Q56A07,Scn2b Gm183,1.15,5,0.001382,Sodium channel subunit beta-2 OS=Mus musculus GN=Scn2b PE=1 SV=1,HEART,PROT,HUMAN
P63024,Vamp3 Syb3,1.149,3,0.4296,Vesicle-associated membrane protein 3 OS=Mus musculus GN=Vamp3 PE=1 SV=1,HEART,PROT,HUMAN
Q9DCM2,Gstk1,1.148,14,0.0002066,Glutathione S-transferase kappa 1 OS=Mus musculus GN=Gstk1 PE=1 SV=3,HEART,PROT,HUMAN
Q6GT24,Prdx6,1.146,25,0.009456,Peroxiredoxin-6 OS=Mus musculus GN=Prdx6 PE=1 SV=1,HEART,PROT,HUMAN
P48962,Slc25a4 Anc1 Ant1,1.145,42,1.13E-05,ADP/ATP translocase 1 OS=Mus musculus GN=Slc25a4 PE=1 SV=4,HEART,PROT,HUMAN
P55264,Adk,1.145,7,0.3831,Adenosine kinase OS=Mus musculus GN=Adk PE=1 SV=2,HEART,PROT,HUMAN
Q9EQ20,Aldh6a1,1.144,32,0.001299,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Mus musculus GN=Aldh6a1 PE=1 SV=1",HEART,PROT,HUMAN
P38060,Hmgcl,1.144,12,0.01384,"Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Mus musculus GN=Hmgcl PE=1 SV=2",HEART,PROT,HUMAN
D3YV69,Rab6a,1.142,5,0.04507,Ras-related protein Rab-6A OS=Mus musculus GN=Rab6a PE=1 SV=1,HEART,PROT,HUMAN
Z4YKT6,Dhrs7b,1.142,3,0.09544,Dehydrogenase/reductase SDR family member 7B OS=Mus musculus GN=Dhrs7b PE=1 SV=1,HEART,PROT,HUMAN
E0CYV0,Pcmt1,1.14,9,0.04018,Protein-L-isoaspartate O-methyltransferase OS=Mus musculus GN=Pcmt1 PE=1 SV=1,HEART,PROT,HUMAN
Q9CPQ3,Tomm22 Tom22,1.139,5,0.5182,Mitochondrial import receptor subunit TOM22 homolog OS=Mus musculus GN=Tomm22 PE=1 SV=3,HEART,PROT,HUMAN
Q921G7,Etfdh,1.136,38,7.41E-05,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus GN=Etfdh PE=1 SV=1",HEART,PROT,HUMAN
O08804,Serpinb6b mCG_17890,1.136,7,0.1554,NK13 OS=Mus musculus GN=Serpinb6b PE=1 SV=2,HEART,PROT,HUMAN
Q9JHW2,Nit2 D16Ertd502e,1.135,6,0.1823,Omega-amidase NIT2 OS=Mus musculus GN=Nit2 PE=1 SV=1,HEART,PROT,HUMAN
P31428,Dpep1 Mbd1 Rdp,1.133,3,0.36,Dipeptidase 1 OS=Mus musculus GN=Dpep1 PE=1 SV=2,HEART,PROT,HUMAN
Q91WS0,Cisd1 D10Ertd214e Zcd1,1.131,11,0.004916,CDGSH iron-sulfur domain-containing protein 1 OS=Mus musculus GN=Cisd1 PE=1 SV=1,HEART,PROT,HUMAN
Q9CQ92,Fis1 Ttc11,1.131,3,0.3963,Mitochondrial fission 1 protein OS=Mus musculus GN=Fis1 PE=1 SV=1,HEART,PROT,HUMAN
Q8CGK3,Lonp1 Prss15,1.13,39,5.17E-05,"Lon protease homolog, mitochondrial OS=Mus musculus GN=Lonp1 PE=1 SV=2",HEART,PROT,HUMAN
A0A0R4J0S3,Rtn4ip1 mCG_52123,1.13,5,0.002081,Reticulon 4 interacting protein 1 OS=Mus musculus GN=Rtn4ip1 PE=1 SV=1,HEART,PROT,HUMAN
Q99LB2,Dhrs4 D14Ucla2,1.13,5,0.1565,Dehydrogenase/reductase SDR family member 4 OS=Mus musculus GN=Dhrs4 PE=1 SV=3,HEART,PROT,HUMAN
Q78IK2,Atp5md Dapit Usmg5,1.127,5,0.06622,Up-regulated during skeletal muscle growth protein 5 OS=Mus musculus GN=Usmg5 PE=1 SV=1,HEART,PROT,HUMAN
Q91VT4,Cbr4,1.127,3,0.5143,Carbonyl reductase family member 4 OS=Mus musculus GN=Cbr4 PE=1 SV=2,HEART,PROT,HUMAN
Q8BMF3,Me3,1.126,12,0.02807,"NADP-dependent malic enzyme, mitochondrial OS=Mus musculus GN=Me3 PE=1 SV=2",HEART,PROT,HUMAN
A0A0A0MQ68,Gcdh,1.126,5,0.4379,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Gcdh PE=1 SV=1",HEART,PROT,HUMAN
P36993,Ppm1b Pp2c2 Pppm1b,1.125,3,0.1468,Protein phosphatase 1B OS=Mus musculus GN=Ppm1b PE=1 SV=1,HEART,PROT,HUMAN
Q6XPS7,Tha1 Gly1,1.125,6,0.2025,L-threonine aldolase OS=Mus musculus GN=Tha1 PE=1 SV=1,HEART,PROT,HUMAN
P51881,Slc25a5 Ant2,1.124,27,0.0004447,ADP/ATP translocase 2 OS=Mus musculus GN=Slc25a5 PE=1 SV=3,HEART,PROT,HUMAN
P11404,Fabp3 Fabph1,1.124,26,0.0007694,"Fatty acid-binding protein, heart OS=Mus musculus GN=Fabp3 PE=1 SV=5",HEART,PROT,HUMAN
A6X940,Fermt2,1.123,3,0.633,Fermitin family homolog 2 (Fragment) OS=Mus musculus GN=Fermt2 PE=1 SV=1,HEART,PROT,HUMAN
Q9CPQ1,Cox6c,1.122,17,0.2686,Cytochrome c oxidase subunit 6C OS=Mus musculus GN=Cox6c PE=1 SV=3,HEART,PROT,HUMAN
Q9D2C2,Saal1,1.122,4,0.283,Protein SAAL1 OS=Mus musculus GN=Saal1 PE=1 SV=1,HEART,PROT,HUMAN
A2AST1,Ccdc141 CAMDI mCG_142258,1.121,8,0.0929,Coiled-coil domain-containing 141 OS=Mus musculus GN=Ccdc141 PE=1 SV=1,HEART,PROT,HUMAN
Q9QXX4,Slc25a13 Aralar2,1.119,44,0.002035,Calcium-binding mitochondrial carrier protein Aralar2 OS=Mus musculus GN=Slc25a13 PE=1 SV=1,HEART,PROT,HUMAN
P05202,Got2 Got-2,1.118,40,6.71E-05,"Aspartate aminotransferase, mitochondrial OS=Mus musculus GN=Got2 PE=1 SV=1",HEART,PROT,HUMAN
Q924M7,Mpi Mpi1 Pmi,1.118,5,0.02877,Mannose-6-phosphate isomerase OS=Mus musculus GN=Mpi PE=1 SV=1,HEART,PROT,HUMAN
Q8BGH2,Samm50,1.117,15,0.001364,Sorting and assembly machinery component 50 homolog OS=Mus musculus GN=Samm50 PE=1 SV=1,HEART,PROT,HUMAN
Q9D6J6,Ndufv2,1.117,24,0.01221,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Mus musculus GN=Ndufv2 PE=1 SV=2",HEART,PROT,HUMAN
Q8BH59,Slc25a12 Aralar1,1.116,37,0.001313,Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus GN=Slc25a12 PE=1 SV=1,HEART,PROT,HUMAN
Q2TPA8,Hsdl2,1.116,24,0.04315,Hydroxysteroid dehydrogenase-like protein 2 OS=Mus musculus GN=Hsdl2 PE=1 SV=1,HEART,PROT,HUMAN
Q99LC5,Etfa,1.113,61,0.002008,"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus GN=Etfa PE=1 SV=2",HEART,PROT,HUMAN
D3Z041,Acsl1,1.113,49,0.002876,Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus GN=Acsl1 PE=1 SV=1,HEART,PROT,HUMAN
Q8BZF8,Pgm5,1.113,14,0.004869,Phosphoglucomutase-like protein 5 OS=Mus musculus GN=Pgm5 PE=1 SV=2,HEART,PROT,HUMAN
P42669,Pura,1.113,3,0.6127,Transcriptional activator protein Pur-alpha OS=Mus musculus GN=Pura PE=1 SV=1,HEART,PROT,HUMAN
Q924X2,Cpt1b,1.112,23,5.58E-05,"Carnitine O-palmitoyltransferase 1, muscle isoform OS=Mus musculus GN=Cpt1b PE=1 SV=1",HEART,PROT,HUMAN
Q8BWF0,Aldh5a1,1.111,10,0.07074,"Succinate-semialdehyde dehydrogenase, mitochondrial OS=Mus musculus GN=Aldh5a1 PE=1 SV=1",HEART,PROT,HUMAN
Q9ER35,Fn3k,1.111,3,0.6176,Fructosamine-3-kinase OS=Mus musculus GN=Fn3k PE=1 SV=1,HEART,PROT,HUMAN
P02088,Hbb-b1,1.11,82,4.38E-06,Hemoglobin subunit beta-1 OS=Mus musculus GN=Hbb-b1 PE=1 SV=2,HEART,PROT,HUMAN
P52825,Cpt2 Cpt-2,1.109,33,0.009079,"Carnitine O-palmitoyltransferase 2, mitochondrial OS=Mus musculus GN=Cpt2 PE=1 SV=2",HEART,PROT,HUMAN
P15626,Gstm2,1.108,18,0.000599,Glutathione S-transferase Mu 2 OS=Mus musculus GN=Gstm2 PE=1 SV=2,HEART,PROT,HUMAN
A0A0R3P9C8,Ndufa9,1.108,24,0.01761,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Mus musculus GN=Ndufa9 PE=1 SV=1",HEART,PROT,HUMAN
G3UXX3,Spr,1.108,7,0.2412,Sepiapterin reductase OS=Mus musculus GN=Spr PE=1 SV=1,HEART,PROT,HUMAN
Q91YP0,L2hgdh,1.108,11,0.2528,"L-2-hydroxyglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=L2hgdh PE=1 SV=1",HEART,PROT,HUMAN
Q7TMX5,Shq1,1.107,4,0.3001,Protein SHQ1 homolog OS=Mus musculus GN=Shq1 PE=1 SV=2,HEART,PROT,HUMAN
A0A0R4J268,Osmr,1.106,3,0.2621,Oncostatin-M-specific receptor subunit beta OS=Mus musculus GN=Osmr PE=1 SV=1,HEART,PROT,HUMAN
E9Q800,Immt,1.105,82,3.59E-07,MICOS complex subunit MIC60 OS=Mus musculus GN=Immt PE=1 SV=1,HEART,PROT,HUMAN
A0A0A0MQC7,Mapt,1.105,9,0.02291,Microtubule-associated protein OS=Mus musculus GN=Mapt PE=1 SV=1,HEART,PROT,HUMAN
O88441,Mtx2 MNCb-0780,1.105,5,0.4796,Metaxin-2 OS=Mus musculus GN=Mtx2 PE=1 SV=1,HEART,PROT,HUMAN
P09470,Ace Dcp1,1.103,4,0.1392,Angiotensin-converting enzyme OS=Mus musculus GN=Ace PE=1 SV=3,HEART,PROT,HUMAN
O08749,Dld,1.102,40,0.002104,"Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2",HEART,PROT,HUMAN
Q99M01,Fars2 Fars1,1.102,4,0.3817,"Phenylalanine--tRNA ligase, mitochondrial OS=Mus musculus GN=Fars2 PE=1 SV=1",HEART,PROT,HUMAN
A8DUK4,Hbb-bs Glna1 Hbb-bt Hbbt1 Hbbt2,1.1,108,1.80E-07,Beta-globin OS=Mus musculus GN=Hbbt1 PE=1 SV=1,HEART,PROT,HUMAN
Q8BKZ9,Pdhx,1.1,22,0.01283,"Pyruvate dehydrogenase protein X component, mitochondrial OS=Mus musculus GN=Pdhx PE=1 SV=1",HEART,PROT,HUMAN
Q8C0M9,Asrgl1,1.1,5,0.0604,Isoaspartyl peptidase/L-asparaginase OS=Mus musculus GN=Asrgl1 PE=1 SV=1,HEART,PROT,HUMAN
Q9Z2M7,Pmm2,1.1,5,0.1248,Phosphomannomutase 2 OS=Mus musculus GN=Pmm2 PE=1 SV=1,HEART,PROT,HUMAN
Q9WUM5,Suclg1,1.1,8,0.2062,"Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Mus musculus GN=Suclg1 PE=1 SV=4",HEART,PROT,HUMAN
E9Q223,Hbb-bs,1.099,99,5.09E-07,"Hemoglobin, beta adult s chain (Fragment) OS=Mus musculus GN=Hbb-bs PE=1 SV=1",HEART,PROT,HUMAN
Q9DCC8,Tomm20,1.099,11,0.1059,Mitochondrial import receptor subunit TOM20 homolog OS=Mus musculus GN=Tomm20 PE=1 SV=1,HEART,PROT,HUMAN
Q91V77,S100a1 mCG_68132,1.099,17,0.3451,Protein S100 OS=Mus musculus GN=S100a1 PE=1 SV=1,HEART,PROT,HUMAN
P54116,Stom Epb7.2 Epb72,1.097,3,0.04717,Erythrocyte band 7 integral membrane protein OS=Mus musculus GN=Stom PE=1 SV=3,HEART,PROT,HUMAN
A0A1Y7VJZ2,Gstz1 mCG_17472,1.096,3,0.2992,"Glutathione transferase zeta 1 (Maleylacetoacetate isomerase), isoform CRA_c OS=Mus musculus GN=Gstz1 PE=1 SV=1",HEART,PROT,HUMAN
Q8CAQ8,Immt Mic60,1.095,80,3.74E-06,MICOS complex subunit Mic60 OS=Mus musculus GN=Immt PE=1 SV=1,HEART,PROT,HUMAN
Q99JY0,Hadhb,1.095,68,0.003619,"Trifunctional enzyme subunit beta, mitochondrial OS=Mus musculus GN=Hadhb PE=1 SV=1",HEART,PROT,HUMAN
Q04857,Col6a1,1.095,17,0.01153,Collagen alpha-1(VI) chain OS=Mus musculus GN=Col6a1 PE=1 SV=1,HEART,PROT,HUMAN
Q9QYJ0,Dnaja2,1.095,10,0.1981,DnaJ homolog subfamily A member 2 OS=Mus musculus GN=Dnaja2 PE=1 SV=1,HEART,PROT,HUMAN
P45952,Acadm,1.094,58,0.0004095,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Acadm PE=1 SV=1",HEART,PROT,HUMAN
P53395,Dbt,1.094,23,0.004332,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dbt PE=1 SV=2",HEART,PROT,HUMAN
Q9CQ62,Decr1,1.094,35,0.006844,"2,4-dienoyl-CoA reductase, mitochondrial OS=Mus musculus GN=Decr1 PE=1 SV=1",HEART,PROT,HUMAN
E9QNT8,Ank1,1.094,5,0.5724,Ankyrin-1 OS=Mus musculus GN=Ank1 PE=1 SV=1,HEART,PROT,HUMAN
P97443,Smyd1 Bop,1.093,19,0.0005174,Histone-lysine N-methyltransferase Smyd1 OS=Mus musculus GN=Smyd1 PE=1 SV=3,HEART,PROT,HUMAN
